Date,Open,High,Low,Close,Adj Close,Volume
"Apr 11, 2025",157.25,164.55,155.35,164.55,164.55,"47,479,859"
"Apr 10, 2025",160.80,160.80,160.80,160.80,160.80,"5,592,767"
"Apr 9, 2025",152.50,154.15,145.00,146.20,146.20,"75,123,699"
"Apr 8, 2025",151.20,157.45,150.55,153.25,153.25,"80,326,827"
"Apr 7, 2025",158.40,158.40,158.40,158.40,158.40,"23,164,631"
"Apr 2, 2025",176.85,177.35,176.00,176.00,176.00,"10,431,325"
"Apr 1, 2025",173.60,176.55,173.60,176.30,176.30,"11,821,150"
"Mar 31, 2025",173.60,174.25,172.20,172.75,172.75,"36,516,408"
"Mar 28, 2025",179.15,179.30,178.00,179.20,179.20,"19,748,309"
"Mar 27, 2025",181.50,181.60,180.45,181.00,181.00,"17,491,638"
"Mar 26, 2025",185.20,185.40,183.85,184.50,184.50,"6,728,762"
"Mar 25, 2025",184.65,185.50,184.00,184.65,184.65,"7,814,163"
"Mar 24, 2025",184.40,184.40,182.30,182.75,182.75,"7,309,865"
"Mar 21, 2025",184.00,184.00,182.50,182.95,182.95,"7,134,544"
"Mar 20, 2025",182.45,184.45,182.45,184.45,184.45,"7,664,553"
"Mar 19, 2025",182.60,182.65,180.10,180.55,180.55,"11,690,842"
"Mar 18, 2025",183.10,183.85,182.35,182.80,182.80,"7,650,780"
"Mar 17, 2025",182.55,183.50,181.60,182.05,182.05,"10,974,344"
"Mar 14, 2025",181.10,181.15,179.55,180.50,180.50,"12,299,558"
"Mar 13, 2025",185.20,185.85,181.05,181.10,181.10,"13,067,228"
"Mar 12, 2025",182.10,184.40,181.60,182.80,182.80,"12,758,877"
"Mar 11, 2025",180.75,182.10,179.10,182.00,182.00,"33,547,942"
"Mar 10, 2025",186.35,186.35,184.35,185.25,185.25,"19,751,644"
"Mar 7, 2025",186.80,187.00,185.80,186.35,186.35,"17,120,853"
"Mar 6, 2025",189.35,189.35,187.35,188.10,188.10,"14,222,721"
"Mar 5, 2025",188.00,189.50,188.00,189.25,189.25,"12,842,391"
"Mar 4, 2025",185.00,187.25,184.65,186.80,186.80,"28,663,913"
"Mar 3, 2025",188.80,189.00,186.80,188.05,188.05,"55,489,756"
"Feb 27, 2025",194.95,194.95,192.35,192.50,192.50,"18,673,705"
"Feb 26, 2025",192.90,194.70,191.90,194.70,194.70,"18,294,080"
"Feb 25, 2025",194.00,194.05,192.60,193.65,193.65,"26,677,671"
"Feb 24, 2025",196.15,196.40,195.50,196.20,196.20,"12,418,006"
"Feb 21, 2025",196.50,197.95,195.90,197.95,197.95,"8,469,798"
"Feb 20, 2025",196.95,196.95,195.10,196.55,196.55,"13,839,763"
"Feb 19, 2025",197.65,197.90,197.00,197.30,197.30,"11,828,308"
"Feb 18, 2025",197.90,197.90,196.60,197.65,197.65,"8,069,669"
"Feb 17, 2025",194.75,196.95,194.75,196.95,196.95,"11,647,990"
"Feb 14, 2025",195.15,195.15,193.50,194.00,194.00,"23,054,316"
"Feb 13, 2025",197.30,197.40,195.55,196.35,196.35,"14,168,495"
"Feb 12, 2025",198.00,198.65,197.00,197.20,197.20,"6,825,279"
"Feb 11, 2025",197.50,198.50,197.00,197.50,197.50,"4,960,611"
"Feb 10, 2025",198.20,198.20,196.10,196.30,196.30,"16,382,010"
"Feb 7, 2025",197.65,198.60,197.10,198.55,198.55,"5,608,594"
"Feb 6, 2025",198.00,198.40,197.10,197.65,197.65,"11,209,707"
"Feb 5, 2025",195.75,197.80,195.75,196.80,196.80,"15,239,625"
"Feb 4, 2025",193.65,194.55,193.05,193.85,193.85,"19,284,119"
"Feb 3, 2025",192.30,193.00,190.65,192.70,192.70,"55,789,778"
"Jan 22, 2025",200.30,201.70,200.30,201.30,201.30,"12,864,399"
"Jan 21, 2025",197.30,199.20,196.70,198.70,198.70,"10,612,738"
"Jan 20, 2025",197.15,198.65,197.15,198.30,198.30,"7,417,571"
"Jan 17, 2025",197.00,197.35,194.40,196.30,196.30,"15,137,566"
"Jan 16, 2025",197.90,199.50,197.40,198.05,195.35,"15,587,098"
"Jan 15, 2025",196.00,196.00,193.75,194.10,191.45,"17,384,117"
"Jan 14, 2025",194.70,195.90,194.05,195.60,192.93,"10,877,775"
"Jan 13, 2025",199.00,199.00,194.10,194.40,191.75,"20,876,179"
"Jan 10, 2025",199.00,199.55,198.00,199.00,196.29,"8,321,324"
"Jan 9, 2025",200.20,201.15,199.00,199.05,196.34,"8,430,655"
"Jan 8, 2025",202.65,203.35,201.05,201.35,198.61,"11,855,717"
"Jan 7, 2025",204.95,206.00,204.25,204.40,201.61,"15,943,844"
"Jan 6, 2025",198.65,202.30,198.60,202.15,199.39,"24,627,793"
"Jan 3, 2025",196.00,196.95,195.20,196.00,193.33,"7,113,371"
"Jan 2, 2025",195.65,195.65,193.25,194.05,191.40,"12,797,702"
"Dec 31, 2024",196.70,196.90,195.60,195.75,193.08,"7,836,534"
"Dec 30, 2024",198.15,198.65,197.65,197.80,195.10,"8,677,266"
"Dec 27, 2024",197.60,199.05,197.30,198.90,196.19,"6,987,417"
"Dec 26, 2024",198.40,198.50,198.00,198.25,195.55,"4,803,561"
"Dec 25, 2024",198.50,198.50,197.45,198.40,195.70,"5,906,123"
"Dec 24, 2024",198.50,199.10,197.50,197.80,195.10,"8,195,902"
"Dec 23, 2024",194.70,197.30,194.50,197.25,194.56,"11,176,066"
"Dec 20, 2024",193.75,193.75,192.00,192.60,189.97,"11,123,394"
"Dec 19, 2024",194.35,194.80,193.55,194.40,191.75,"13,045,047"
"Dec 18, 2024",196.80,197.85,195.60,197.10,194.41,"6,553,877"
"Dec 17, 2024",197.10,198.05,196.75,197.10,194.41,"9,294,229"
"Dec 16, 2024",197.00,197.65,195.75,196.10,193.43,"7,343,592"
"Dec 13, 2024",194.65,195.60,194.10,195.30,192.64,"4,520,427"
"Dec 12, 2024",194.90,195.75,194.45,195.15,192.49,"5,027,241"
"Dec 11, 2024",193.00,194.25,192.60,192.90,190.27,"6,714,689"
"Dec 10, 2024",195.75,196.45,194.55,194.60,191.95,"4,477,307"
"Dec 9, 2024",196.15,196.25,195.70,196.00,193.33,"4,639,864"
"Dec 6, 2024",196.50,196.70,195.00,195.75,193.08,"6,809,506"
"Dec 5, 2024",195.75,196.60,195.65,196.50,193.82,"7,446,203"
"Dec 4, 2024",194.70,195.45,194.05,195.45,192.79,"6,455,249"
"Dec 3, 2024",194.30,194.85,193.75,194.30,191.65,"9,953,106"
"Dec 2, 2024",188.50,191.70,188.50,191.70,189.09,"10,544,078"
"Nov 29, 2024",184.95,188.00,184.50,187.25,184.70,"8,128,220"
"Nov 28, 2024",187.00,187.10,185.45,186.80,184.25,"13,109,114"
"Nov 27, 2024",189.15,189.45,187.00,187.10,184.55,"14,072,686"
"Nov 26, 2024",190.10,190.30,188.80,189.85,187.26,"11,390,822"
"Nov 25, 2024",194.70,194.75,192.25,192.35,189.73,"7,826,663"
"Nov 22, 2024",191.10,193.20,191.10,193.05,190.42,"7,965,587"
"Nov 21, 2024",190.00,190.15,188.60,189.35,186.77,"15,876,617"
"Nov 20, 2024",191.45,191.45,191.45,191.45,188.84,"78,000"
"Nov 19, 2024",190.70,192.95,190.20,192.25,189.63,"7,618,321"
"Nov 18, 2024",191.45,191.70,189.60,189.65,187.06,"13,394,516"
"Nov 15, 2024",192.05,192.85,190.85,192.35,189.73,"7,385,581"
"Nov 14, 2024",192.30,192.50,190.10,191.00,188.40,"12,146,615"
"Nov 13, 2024",193.85,194.00,192.50,192.75,190.12,"9,194,590"
"Nov 12, 2024",195.20,195.85,194.00,194.00,191.36,"26,272,087"
"Nov 11, 2024",198.85,199.10,196.80,199.10,196.39,"12,364,013"
"Nov 8, 2024",199.40,200.00,198.70,199.00,196.29,"12,950,151"
"Nov 7, 2024",194.90,198.05,194.50,197.45,194.76,"13,498,552"
"Nov 6, 2024",194.05,198.05,193.50,195.20,192.54,"16,706,376"
"Nov 5, 2024",191.55,194.70,191.40,193.65,191.01,"10,108,207"
"Nov 4, 2024",191.05,193.20,190.80,192.95,190.32,"7,279,572"
"Nov 1, 2024",186.15,190.55,185.95,190.50,187.90,"19,620,907"
"Oct 30, 2024",192.95,194.05,191.50,191.80,189.19,"14,156,688"
"Oct 29, 2024",193.25,193.25,190.20,191.50,188.89,"24,245,024"
"Oct 28, 2024",197.90,198.15,194.95,196.05,193.38,"11,494,619"
"Oct 25, 2024",195.00,196.55,195.00,196.40,193.72,"12,641,643"
"Oct 24, 2024",196.00,196.70,194.50,194.80,192.14,"8,123,462"
"Oct 23, 2024",196.70,196.90,195.65,196.00,193.33,"9,448,724"
"Oct 22, 2024",197.20,197.30,195.35,197.30,194.61,"8,464,415"
"Oct 21, 2024",199.05,199.95,198.00,198.05,195.35,"13,229,646"
"Oct 18, 2024",199.30,200.20,197.25,198.10,195.40,"32,320,902"
"Oct 17, 2024",194.00,194.10,191.90,193.30,190.66,"9,541,205"
"Oct 16, 2024",192.45,195.30,191.65,193.00,190.37,"17,800,388"
"Oct 15, 2024",193.00,196.60,193.00,196.40,193.72,"14,767,707"
"Oct 14, 2024",192.10,192.90,190.95,192.30,189.68,"10,109,759"
"Oct 11, 2024",189.05,192.80,189.05,192.15,189.53,"12,306,746"
"Oct 9, 2024",189.00,190.20,189.00,189.00,186.42,"11,297,060"
"Oct 8, 2024",186.95,187.35,185.50,187.25,184.70,"9,479,332"
"Oct 7, 2024",185.80,188.20,185.80,188.15,185.58,"13,451,502"
"Oct 4, 2024",184.00,185.30,183.00,183.60,181.10,"8,865,663"
"Oct 1, 2024",183.90,184.60,183.35,183.60,181.10,"9,410,219"
"Sep 30, 2024",186.55,187.20,183.95,183.95,181.44,"13,186,950"
"Sep 27, 2024",190.20,191.25,188.60,188.90,186.32,"11,403,314"
"Sep 26, 2024",189.60,190.00,188.75,189.30,186.72,"16,725,931"
"Sep 25, 2024",187.70,188.00,187.35,187.75,185.19,"11,673,001"
"Sep 24, 2024",183.20,185.00,182.10,185.00,182.48,"9,952,346"
"Sep 23, 2024",182.55,183.65,182.55,183.25,180.75,"7,900,498"
"Sep 20, 2024",183.10,184.10,182.45,182.45,179.96,"13,632,880"
"Sep 19, 2024",178.00,180.20,177.00,180.15,177.69,"8,110,076"
"Sep 18, 2024",178.50,179.10,176.55,177.85,175.43,"9,192,314"
"Sep 16, 2024",178.60,179.20,178.30,178.75,176.31,"5,876,908"
"Sep 13, 2024",179.00,179.35,177.85,178.40,175.97,"4,511,876"
"Sep 12, 2024",176.10,178.65,176.10,178.30,175.87,"15,744,502"
"Sep 11, 2024",172.35,172.50,171.50,171.85,169.51,"5,014,059"
"Sep 10, 2024",173.40,173.40,171.15,172.35,170.00,"9,301,953"
"Sep 9, 2024",170.40,172.10,170.30,172.05,169.70,"15,183,985"
"Sep 6, 2024",173.00,174.90,171.85,174.75,172.37,"8,582,755"
"Sep 5, 2024",172.85,174.65,171.75,172.30,169.95,"8,818,826"
"Sep 4, 2024",171.00,173.80,170.00,171.25,168.92,"29,908,996"
"Sep 3, 2024",181.00,181.50,179.70,180.05,177.60,"9,602,828"
"Sep 2, 2024",181.90,182.45,180.50,180.85,178.38,"8,014,474"
"Aug 30, 2024",180.95,182.05,180.65,181.35,178.88,"8,050,738"
"Aug 29, 2024",179.50,181.15,179.15,180.50,178.04,"10,765,945"
