Date,Open,High,Low,Close,Adj Close,Volume
"Apr 11, 2025",70.91,71.85,70.54,71.43,71.43,"19,985,400"
"Apr 10, 2025",70.19,71.21,68.98,70.76,70.76,"22,450,200"
"Apr 9, 2025",67.92,70.47,67.28,69.95,69.95,"27,918,700"
"Apr 8, 2025",68.96,69.98,67.76,68.42,68.42,"22,774,400"
"Apr 7, 2025",66.23,69.38,66.05,68.37,68.37,"34,258,400"
"Apr 4, 2025",72.42,73.01,69.79,69.93,69.93,"26,517,300"
"Apr 3, 2025",72.48,73.95,72.32,73.18,73.18,"24,959,600"
"Apr 2, 2025",71.96,72.36,71.05,71.33,71.33,"14,606,500"
"Apr 1, 2025",71.68,71.91,71.19,71.87,71.87,"15,309,100"
"Mar 31, 2025",70.73,71.94,70.49,71.62,71.62,"24,016,900"
"Mar 28, 2025",70.81,71.32,69.53,70.37,70.37,"17,412,900"
"Mar 27, 2025",70.18,70.99,70.07,70.74,70.74,"11,663,400"
"Mar 26, 2025",68.92,70.35,68.90,70.02,70.02,"14,478,200"
"Mar 25, 2025",68.95,69.08,68.60,68.81,68.81,"12,513,900"
"Mar 24, 2025",68.80,69.08,68.33,68.95,68.95,"12,575,400"
"Mar 21, 2025",69.71,69.97,68.18,68.67,68.67,"47,479,500"
"Mar 20, 2025",69.31,69.81,69.09,69.71,69.71,"16,295,300"
"Mar 19, 2025",68.55,69.38,68.54,69.28,69.28,"14,780,000"
"Mar 18, 2025",70.11,70.19,69.30,69.38,69.38,"12,657,600"
"Mar 17, 2025",69.24,70.17,69.08,70.12,70.12,"15,634,800"
"Mar 14, 2025",68.51,69.26,68.38,69.16,69.16,"14,205,100"
"Mar 13, 2025",70.25,70.25,69.28,69.62,69.11,"15,746,600"
"Mar 12, 2025",70.37,70.73,69.74,69.94,69.43,"18,923,300"
"Mar 11, 2025",71.88,72.04,70.61,71.04,70.52,"28,076,400"
"Mar 10, 2025",71.96,73.22,71.32,71.45,70.93,"25,251,200"
"Mar 7, 2025",69.65,71.82,69.65,71.43,70.91,"28,393,300"
"Mar 6, 2025",70.41,70.53,69.45,70.46,69.94,"21,694,000"
"Mar 5, 2025",69.90,70.74,69.84,70.08,69.57,"23,933,600"
"Mar 4, 2025",72.07,72.65,69.88,70.19,69.68,"25,411,900"
"Mar 3, 2025",70.24,72.36,69.73,72.32,71.79,"21,717,600"
"Feb 28, 2025",71.45,71.57,70.56,71.21,70.69,"22,167,400"
"Feb 27, 2025",70.72,71.54,70.42,70.87,70.35,"16,789,500"
"Feb 26, 2025",71.27,71.28,70.53,70.80,70.28,"14,531,200"
"Feb 25, 2025",70.86,71.77,70.73,71.49,70.97,"21,555,600"
"Feb 24, 2025",70.84,71.73,70.33,70.59,70.07,"21,418,400"
"Feb 21, 2025",70.32,71.60,70.13,71.35,70.83,"21,662,300"
"Feb 20, 2025",69.71,70.07,69.42,70.04,69.53,"13,398,000"
"Feb 19, 2025",69.21,70.13,69.17,70.07,69.56,"16,032,300"
"Feb 18, 2025",68.55,69.37,68.42,69.05,68.54,"15,569,100"
"Feb 14, 2025",69.36,70.03,68.76,68.87,68.37,"20,779,100"
"Feb 13, 2025",69.00,69.61,68.76,69.50,68.99,"24,393,100"
"Feb 12, 2025",66.87,68.82,66.87,68.71,68.21,"26,033,800"
"Feb 11, 2025",67.50,67.67,66.41,67.60,67.10,"30,589,100"
"Feb 10, 2025",64.10,64.65,63.66,64.55,64.08,"16,154,300"
"Feb 7, 2025",63.43,63.92,63.27,63.84,63.37,"13,184,700"
"Feb 6, 2025",63.62,63.74,62.91,63.36,62.90,"13,423,400"
"Feb 5, 2025",62.72,63.29,62.59,63.12,62.66,"10,686,800"
"Feb 4, 2025",63.61,63.63,62.35,62.67,62.21,"15,678,000"
"Feb 3, 2025",63.18,63.63,62.43,63.35,62.89,"12,067,900"
"Jan 31, 2025",63.70,63.93,63.39,63.48,63.01,"12,102,100"
"Jan 30, 2025",63.85,64.29,63.23,64.05,63.58,"13,201,000"
"Jan 29, 2025",62.56,63.36,62.55,62.83,62.37,"11,325,600"
"Jan 28, 2025",63.51,64.04,62.28,62.36,61.90,"14,956,000"
"Jan 27, 2025",62.87,64.18,62.47,63.87,63.40,"20,742,900"
"Jan 24, 2025",61.72,62.01,61.44,61.92,61.47,"19,244,600"
"Jan 23, 2025",61.80,61.98,61.37,61.53,61.08,"16,528,400"
"Jan 22, 2025",62.12,62.29,61.66,61.78,61.33,"18,191,900"
"Jan 21, 2025",62.90,63.23,62.30,62.42,61.96,"19,817,100"
"Jan 17, 2025",62.31,62.77,62.17,62.71,62.25,"17,948,900"
"Jan 16, 2025",61.42,62.30,61.32,62.25,61.79,"12,585,500"
"Jan 15, 2025",62.33,62.62,61.68,61.77,61.32,"16,187,200"
"Jan 14, 2025",61.66,62.07,61.30,62.04,61.59,"16,658,300"
"Jan 13, 2025",61.13,61.85,60.71,61.65,61.20,"18,016,200"
"Jan 10, 2025",61.58,61.65,60.73,61.07,60.62,"22,425,000"
"Jan 8, 2025",60.99,61.77,60.93,61.71,61.26,"14,412,400"
"Jan 7, 2025",61.11,61.72,60.62,60.84,60.39,"17,799,600"
"Jan 6, 2025",61.50,61.57,60.66,60.81,60.36,"17,924,200"
"Jan 3, 2025",61.90,62.08,61.62,61.75,61.30,"10,403,200"
"Jan 2, 2025",62.35,62.75,61.62,61.84,61.39,"12,991,000"
"Dec 31, 2024",62.02,62.43,61.80,62.26,61.80,"9,256,700"
"Dec 30, 2024",62.34,62.34,61.68,62.03,61.58,"8,972,200"
"Dec 27, 2024",62.45,62.95,62.21,62.45,61.99,"8,542,800"
"Dec 26, 2024",62.62,62.74,62.40,62.57,62.11,"7,943,800"
"Dec 24, 2024",62.20,62.84,62.01,62.84,62.38,"5,019,100"
