Date,Open,High,Low,Close,Adj Close,Volume
"Apr 11, 2025","1,280.00","1,395.00","1,250.00","1,385.00","1,385.00","16,846,917"
"Apr 10, 2025","1,300.00","1,300.00","1,300.00","1,300.00","1,300.00","1,930,024"
"Apr 9, 2025","1,250.00","1,255.00","1,140.00","1,185.00","1,185.00","19,089,246"
"Apr 8, 2025","1,255.00","1,300.00","1,225.00","1,260.00","1,260.00","18,444,110"
"Apr 7, 2025","1,295.00","1,295.00","1,295.00","1,295.00","1,295.00","1,801,849"
"Apr 2, 2025","1,460.00","1,460.00","1,435.00","1,435.00","1,435.00","4,501,455"
"Apr 1, 2025","1,410.00","1,460.00","1,410.00","1,460.00","1,460.00","6,469,737"
"Mar 31, 2025","1,420.00","1,440.00","1,390.00","1,390.00","1,390.00","7,884,707"
"Mar 28, 2025","1,470.00","1,495.00","1,455.00","1,465.00","1,465.00","4,529,681"
"Mar 27, 2025","1,500.00","1,510.00","1,480.00","1,485.00","1,485.00","4,779,867"
"Mar 26, 2025","1,535.00","1,540.00","1,515.00","1,515.00","1,515.00","3,637,846"
"Mar 25, 2025","1,505.00","1,540.00","1,505.00","1,525.00","1,525.00","7,987,673"
"Mar 24, 2025","1,500.00","1,505.00","1,480.00","1,480.00","1,480.00","3,925,730"
"Mar 21, 2025","1,495.00","1,500.00","1,475.00","1,480.00","1,480.00","4,597,519"
"Mar 20, 2025","1,495.00","1,500.00","1,465.00","1,485.00","1,485.00","6,419,295"
"Mar 19, 2025","1,500.00","1,515.00","1,460.00","1,465.00","1,465.00","7,855,359"
"Mar 18, 2025","1,450.00","1,500.00","1,445.00","1,475.00","1,475.00","10,224,305"
"Mar 17, 2025","1,415.00","1,440.00","1,415.00","1,425.00","1,425.00","4,878,893"
"Mar 14, 2025","1,400.00","1,430.00","1,390.00","1,400.00","1,400.00","7,153,832"
"Mar 13, 2025","1,430.00","1,440.00","1,390.00","1,390.00","1,390.00","6,948,447"
"Mar 12, 2025","1,375.00","1,425.00","1,375.00","1,410.00","1,410.00","7,914,116"
"Mar 11, 2025","1,320.00","1,390.00","1,320.00","1,385.00","1,385.00","10,078,176"
"Mar 10, 2025","1,450.00","1,460.00","1,395.00","1,395.00","1,395.00","9,828,231"
"Mar 7, 2025","1,475.00","1,485.00","1,450.00","1,465.00","1,465.00","5,464,123"
"Mar 6, 2025","1,505.00","1,510.00","1,485.00","1,495.00","1,495.00","3,089,136"
"Mar 5, 2025","1,505.00","1,530.00","1,490.00","1,505.00","1,505.00","6,356,979"
"Mar 4, 2025","1,435.00","1,510.00","1,435.00","1,505.00","1,505.00","7,871,467"
"Mar 3, 2025","1,490.00","1,495.00","1,465.00","1,470.00","1,470.00","10,588,492"
"Feb 27, 2025","1,555.00","1,575.00","1,515.00","1,515.00","1,515.00","10,335,277"
