Date,Open,High,Low,Close,Adj Close,Volume
"Apr 11, 2025",848.00,889.00,836.00,889.00,889.00,"76,103,586"
"Apr 10, 2025",863.00,863.00,863.00,863.00,863.00,"19,416,428"
"Apr 9, 2025",809.00,826.00,780.00,785.00,785.00,"107,582,838"
"Apr 8, 2025",797.00,843.00,797.00,816.00,816.00,"116,648,736"
"Apr 7, 2025",848.00,848.00,848.00,848.00,848.00,"23,820,773"
"Apr 2, 2025",949.00,952.00,938.00,942.00,942.00,"24,849,656"
"Apr 1, 2025",929.00,946.00,925.00,944.00,944.00,"32,197,752"
"Mar 31, 2025",920.00,924.00,910.00,910.00,910.00,"51,064,611"
"Mar 28, 2025",946.00,955.00,946.00,952.00,952.00,"33,101,234"
"Mar 27, 2025",961.00,964.00,958.00,958.00,958.00,"34,563,256"
"Mar 26, 2025",995.00,995.00,980.00,980.00,980.00,"21,735,917"
"Mar 25, 2025",989.00,995.00,985.00,990.00,990.00,"26,167,428"
"Mar 24, 2025",986.00,987.00,972.00,972.00,972.00,"16,121,506"
"Mar 21, 2025",985.00,987.00,970.00,972.00,972.00,"39,214,916"
"Mar 20, 2025",978.00,985.00,971.00,985.00,985.00,"28,715,956"
"Mar 19, 2025",965.00,967.00,950.00,952.00,952.00,"35,245,036"
"Mar 18, 2025",976.00,978.00,968.00,971.00,971.00,"21,575,327"
"Mar 17, 2025",977.00,985.00,968.00,970.00,970.00,"31,491,061"
"Mar 14, 2025",965.00,969.00,955.00,959.00,959.00,"34,333,748"
"Mar 13, 2025","1,000.00","1,005.00",965.00,965.00,965.00,"37,035,693"
"Mar 12, 2025",980.00,995.00,976.00,988.00,988.00,"34,184,887"
"Mar 11, 2025",969.00,979.00,963.00,971.00,971.00,"50,204,233"
"Mar 10, 2025","1,005.00","1,005.00",992.00,998.00,998.00,"46,849,886"
"Mar 7, 2025","1,005.00","1,010.00","1,000.00","1,005.00","1,005.00","40,822,280"
"Mar 6, 2025","1,020.00","1,025.00","1,005.00","1,005.00","1,005.00","45,187,017"
"Mar 5, 2025","1,020.00","1,030.00","1,015.00","1,020.00","1,020.00","41,994,320"
"Mar 4, 2025",996.00,"1,010.00",996.00,"1,000.00","1,000.00","64,569,262"
"Mar 3, 2025","1,000.00","1,020.00","1,000.00","1,020.00","1,020.00","65,621,663"
"Feb 27, 2025","1,065.00","1,065.00","1,040.00","1,040.00","1,040.00","55,283,596"
"Feb 26, 2025","1,045.00","1,060.00","1,045.00","1,060.00","1,060.00","36,768,449"
"Feb 25, 2025","1,055.00","1,060.00","1,050.00","1,055.00","1,055.00","45,158,522"
"Feb 24, 2025","1,080.00","1,085.00","1,075.00","1,075.00","1,075.00","30,822,970"
"Feb 21, 2025","1,085.00","1,095.00","1,080.00","1,095.00","1,095.00","28,972,910"
"Feb 20, 2025","1,080.00","1,085.00","1,070.00","1,080.00","1,080.00","29,643,124"
"Feb 19, 2025","1,090.00","1,095.00","1,085.00","1,090.00","1,090.00","26,400,293"
"Feb 18, 2025","1,085.00","1,100.00","1,080.00","1,100.00","1,100.00","21,616,188"
"Feb 17, 2025","1,065.00","1,085.00","1,065.00","1,085.00","1,085.00","35,491,271"
"Feb 14, 2025","1,065.00","1,070.00","1,060.00","1,060.00","1,060.00","64,486,940"
"Feb 13, 2025","1,090.00","1,095.00","1,080.00","1,090.00","1,090.00","33,210,403"
"Feb 12, 2025","1,110.00","1,115.00","1,100.00","1,100.00","1,100.00","24,172,954"
"Feb 11, 2025","1,110.00","1,115.00","1,100.00","1,110.00","1,110.00","18,898,928"
"Feb 10, 2025","1,125.00","1,125.00","1,095.00","1,105.00","1,105.00","28,527,108"
"Feb 7, 2025","1,110.00","1,125.00","1,105.00","1,125.00","1,125.00","27,883,220"
"Feb 6, 2025","1,120.00","1,120.00","1,105.00","1,115.00","1,115.00","29,971,252"
"Feb 5, 2025","1,110.00","1,120.00","1,105.00","1,110.00","1,110.00","40,385,340"
"Feb 4, 2025","1,085.00","1,100.00","1,080.00","1,095.00","1,095.00","53,308,108"
"Feb 3, 2025","1,065.00","1,075.00","1,060.00","1,070.00","1,070.00","97,946,226"
"Jan 22, 2025","1,140.00","1,150.00","1,135.00","1,135.00","1,135.00","42,960,405"
"Jan 21, 2025","1,115.00","1,125.00","1,110.00","1,120.00","1,120.00","21,904,213"
"Jan 20, 2025","1,125.00","1,135.00","1,120.00","1,120.00","1,120.00","29,834,528"
"Jan 17, 2025","1,125.00","1,125.00","1,095.00","1,120.00","1,120.00","59,214,050"
"Jan 16, 2025","1,095.00","1,115.00","1,090.00","1,105.00","1,105.00","47,542,962"
"Jan 15, 2025","1,085.00","1,085.00","1,065.00","1,065.00","1,065.00","35,489,482"
"Jan 14, 2025","1,085.00","1,090.00","1,075.00","1,090.00","1,090.00","28,695,247"
"Jan 13, 2025","1,110.00","1,115.00","1,070.00","1,075.00","1,075.00","56,690,300"
"Jan 10, 2025","1,100.00","1,110.00","1,100.00","1,100.00","1,100.00","22,021,522"
"Jan 9, 2025","1,100.00","1,115.00","1,100.00","1,100.00","1,100.00","27,263,215"
"Jan 8, 2025","1,110.00","1,130.00","1,105.00","1,105.00","1,105.00","45,211,419"
"Jan 7, 2025","1,150.00","1,160.00","1,130.00","1,130.00","1,130.00","48,758,688"
"Jan 6, 2025","1,100.00","1,125.00","1,095.00","1,125.00","1,125.00","69,289,786"
"Jan 3, 2025","1,080.00","1,085.00","1,075.00","1,075.00","1,075.00","30,415,096"
"Jan 2, 2025","1,070.00","1,075.00","1,055.00","1,065.00","1,065.00","43,177,098"
"Dec 31, 2024","1,080.00","1,085.00","1,075.00","1,075.00","1,075.00","28,397,820"
"Dec 30, 2024","1,090.00","1,095.00","1,085.00","1,090.00","1,090.00","23,954,634"
"Dec 27, 2024","1,080.00","1,095.00","1,080.00","1,090.00","1,090.00","24,948,385"
"Dec 26, 2024","1,085.00","1,090.00","1,085.00","1,085.00","1,085.00","14,374,900"
"Dec 25, 2024","1,090.00","1,090.00","1,080.00","1,085.00","1,085.00","15,481,622"
"Dec 24, 2024","1,095.00","1,095.00","1,080.00","1,080.00","1,080.00","26,461,906"
"Dec 23, 2024","1,065.00","1,080.00","1,060.00","1,080.00","1,080.00","30,728,473"
"Dec 20, 2024","1,060.00","1,060.00","1,035.00","1,035.00","1,035.00","52,030,520"
"Dec 19, 2024","1,065.00","1,070.00","1,055.00","1,070.00","1,070.00","42,702,851"
"Dec 18, 2024","1,075.00","1,090.00","1,070.00","1,085.00","1,085.00","41,863,190"
"Dec 17, 2024","1,090.00","1,095.00","1,075.00","1,075.00","1,075.00","37,880,707"
"Dec 16, 2024","1,085.00","1,085.00","1,075.00","1,085.00","1,085.00","39,722,392"
"Dec 13, 2024","1,060.00","1,070.00","1,055.00","1,065.00","1,065.00","20,423,659"
