time,open,high,low,close
778726800,4.15358,4.15358,4.15358,4.15358
778813200,4.43482,4.43482,4.43482,4.43482
778899600,4.73768,4.73768,4.73768,4.73768
778986000,5.06218,5.06218,5.06218,5.06218
779072400,5.40831,5.40831,5.40831,5.40831
779331600,6.16548,6.16548,6.16548,6.16548
779418000,6.57651,6.57651,6.57651,6.57651
779504400,7.00917,7.00917,7.00917,7.00917
779590800,7.4851,7.4851,7.13897,7.4851
779677200,7.4851,7.65817,7.26877,7.39857
780109200,7.39857,7.52837,7.26877,7.4851
780195600,7.44184,7.44184,7.31204,7.31204
780282000,7.31204,7.6149,7.26877,7.57164
780541200,7.39857,7.4851,7.31204,7.3553
780627600,7.39857,7.4851,7.3553,7.39857
780800400,7.44184,7.44184,7.3553,7.44184
780886800,7.44184,7.52837,7.39857,7.39857
781146000,7.44184,7.4851,7.39857,7.44184
781232400,7.44184,7.52837,7.39857,7.52837
781318800,7.52837,7.65817,7.44184,7.65817
781405200,7.57164,7.6149,7.2255,7.2255
781491600,7.2255,7.3553,7.2255,7.31204
781837200,6.83611,6.92264,6.66304,6.92264
781923600,7.09571,7.3553,7.05244,7.26877
782010000,7.26877,7.3553,7.09571,7.26877
782096400,7.26877,7.3553,7.18224,7.26877
782355600,7.3553,7.39857,7.31204,7.31204
782442000,7.3553,7.39857,7.26877,7.26877
782528400,7.26877,7.31204,7.09571,7.13897
782614800,7.13897,7.2255,7.13897,7.18224
782701200,7.18224,7.26877,7.09571,7.09571
782960400,6.96591,7.00917,6.92264,6.92264
783133200,6.92264,6.92264,6.83611,6.87937
783219600,6.83611,6.87937,6.74957,6.74957
783306000,6.74957,6.87937,6.74957,6.87937
783651600,7.05244,7.05244,6.79284,6.83611
783738000,6.83611,6.92264,6.74957,6.87937
783824400,6.87937,6.92264,6.83611,6.83611
783910800,6.83611,6.96591,6.79284,6.92264
784170000,6.87937,6.87937,6.79284,6.83611
784256400,6.83611,6.87937,6.79284,6.83611
784342800,6.87937,6.96591,6.87937,6.96591
784429200,7.00917,7.05244,6.96591,7.00917
784515600,7.00917,7.05244,6.96591,7.00917
784774800,7.05244,7.05244,6.87937,7.00917
784861200,6.92264,7.00917,6.87937,7.00917
784947600,6.96591,7.00917,6.92264,6.96591
785034000,7.00917,7.00917,6.92264,6.92264
785120400,6.92264,6.96591,6.92264,6.92264
785379600,7.00917,7.00917,6.92264,6.96591
785466000,6.96591,6.96591,6.92264,6.92264
785552400,6.87937,6.92264,6.83611,6.87937
785638800,6.92264,6.96591,6.87937,6.87937
785725200,6.92264,7.00917,6.92264,6.96591
785984400,6.92264,6.92264,6.87937,6.87937
786070800,6.87937,6.92264,6.87937,6.92264
786157200,6.92264,6.92264,6.79284,6.87937
786243600,6.87937,6.92264,6.83611,6.92264
786330000,6.92264,6.92264,6.83611,6.87937
786589200,7.05244,7.26877,7.00917,7.18224
786675600,7.18224,7.18224,7.05244,7.09571
786762000,7.09571,7.13897,7.05244,7.09571
786848400,7.09571,7.09571,7.00917,7.00917
786934800,7.00917,7.05244,6.87937,6.96591
787194000,6.87937,6.87937,6.79284,6.87937
787280400,6.83611,6.87937,6.79284,6.79284
787366800,6.79284,6.83611,6.74957,6.74957
787453200,6.74957,6.79284,6.70631,6.74957
787539600,6.83611,6.87937,6.70631,6.70631
787798800,6.74957,6.83611,6.70631,6.83611
787885200,6.83611,6.87937,6.79284,6.79284
787971600,6.79284,6.83611,6.70631,6.74957
788058000,6.74957,6.87937,6.70631,6.79284
788144400,6.79284,6.83611,6.66304,6.70631
788490000,6.70631,6.74957,6.66304,6.70631
788576400,6.70631,6.83611,6.70631,6.74957
788662800,6.74957,6.79284,6.74957,6.74957
788749200,6.79284,6.83611,6.74957,6.74957
789267600,6.79284,6.83611,6.70631,6.70631
789354000,6.74957,6.74957,6.66304,6.66304
789613200,6.66304,6.66304,6.53324,6.53324
789699600,6.53324,6.53324,6.40344,6.48997
789786000,6.44671,6.48997,6.44671,6.46834
789872400,6.48997,6.48997,6.40344,6.40344
789958800,6.40344,6.44671,6.31691,6.31691
790218000,6.05731,6.10058,5.88424,5.94914
790304400,5.94914,5.97078,5.92751,5.92751
790390800,5.97078,6.01404,5.97078,5.99241
790477200,6.05731,6.40344,6.01404,6.27364
790563600,6.27364,6.27364,6.05731,6.12221
790822800,6.31691,6.33854,6.05731,6.05731
790909200,5.99241,6.05731,5.97078,6.01404
790995600,6.01404,6.18711,6.01404,6.18711
791082000,6.18711,6.18711,6.05731,6.10058
792032400,6.18711,6.40344,6.14384,6.40344
792118800,6.40344,6.48997,6.36017,6.38181
792205200,6.40344,6.42507,6.31691,6.33854
792291600,6.36017,6.42507,6.36017,6.36017
792378000,6.36017,6.44671,6.36017,6.42507
792637200,6.48997,6.57651,6.44671,6.44671
792723600,6.44671,6.46834,6.40344,6.42507
792810000,6.44671,6.66304,6.44671,6.57651
792896400,6.61977,6.83611,6.61977,6.74957
792982800,6.74957,6.83611,6.70631,6.83611
793242000,6.74957,6.79284,6.61977,6.61977
793328400,6.61977,6.74957,6.61977,6.74957
793414800,6.74957,6.83611,6.66304,6.83611
793501200,6.83611,6.83611,6.74957,6.79284
793587600,6.79284,7.00917,6.79284,6.92264
793846800,6.74957,6.79284,6.48997,6.74957
793933200,6.70631,6.70631,6.61977,6.70631
794019600,6.61977,6.61977,6.40344,6.40344
794106000,6.40344,6.53324,6.40344,6.53324
794192400,6.53324,6.61977,6.48997,6.61977
794451600,6.70631,6.74957,6.66304,6.74957
794538000,6.74957,6.87937,6.66304,6.87937
794624400,6.83611,6.92264,6.74957,6.79284
794710800,6.92264,6.96591,6.87937,6.87937
794797200,6.92264,6.96591,6.87937,6.92264
795056400,6.96591,7.05244,6.96591,7.05244
795142800,7.05244,7.05244,6.92264,6.96591
795229200,7.00917,7.13897,7.00917,7.09571
795315600,7.13897,7.13897,7.05244,7.09571
795402000,7.13897,7.2255,7.13897,7.18224
795661200,7.18224,7.18224,7.09571,7.18224
795747600,7.18224,7.2255,7.13897,7.13897
795834000,7.09571,7.13897,6.92264,7.13897
795920400,7.09571,7.18224,7.09571,7.18224
796006800,7.18224,7.2255,7.13897,7.18224
796266000,7.3553,7.4851,7.26877,7.4851
796352400,7.57164,7.57164,7.44184,7.57164
796525200,7.6149,8.0043,7.57164,8.0043
796611600,8.0043,8.17737,7.83124,8.1341
797130000,8.09083,8.30717,8.09083,8.22063
797216400,8.2639,8.30717,7.96104,8.04757
797475600,8.0043,8.09083,7.91777,8.04757
797562000,8.04757,8.22063,8.04757,8.09083
797648400,8.1341,8.22063,8.09083,8.1341
797734800,8.17737,8.17737,7.96104,8.0043
797821200,7.96104,7.96104,7.7447,7.78797
798080400,7.57164,7.6149,7.4851,7.6149
798166800,7.6149,7.70144,7.3553,7.44184
798253200,7.44184,7.52837,7.31204,7.4851
798339600,7.44184,7.52837,7.44184,7.44184
798426000,7.4851,7.52837,7.26877,7.39857
798685200,7.4851,7.65817,7.44184,7.6149
798771600,7.6149,7.65817,7.4851,7.52837
798858000,7.57164,7.57164,7.26877,7.4851
798944400,7.44184,7.52837,7.3553,7.4851
799030800,7.4851,7.52837,7.3553,7.52837
799290000,7.52837,7.57164,7.44184,7.52837
799376400,7.44184,7.52837,7.3553,7.4851
799462800,7.4851,7.52837,7.4851,7.4851
799549200,7.52837,7.52837,7.39857,7.44184
799635600,7.3553,7.39857,7.09571,7.09571
799894800,7.2255,7.3553,7.13897,7.31204
799981200,7.26877,7.52837,7.18224,7.52837
800067600,7.57164,7.65817,7.44184,7.52837
800154000,7.57164,7.65817,7.52837,7.6149
800240400,7.57164,7.65817,7.52837,7.6149
800499600,7.91777,8.04757,7.91777,7.91777
800586000,7.96104,7.96104,7.78797,7.91777
800672400,7.96104,8.04757,7.8745,7.8745
800758800,7.91777,7.91777,7.78797,7.91777
800845200,7.91777,8.0043,7.83124,7.8745
801104400,7.8745,7.91777,7.83124,7.8745
801190800,7.91777,8.0043,7.91777,7.96104
801277200,7.91777,8.0043,7.8745,8.0043
801363600,8.0043,8.22063,8.0043,8.09083
801450000,8.04757,8.17737,7.96104,8.0043
801709200,7.7447,7.7447,7.57164,7.65817
801795600,7.65817,7.83124,7.65817,7.78797
801882000,7.91777,8.1341,7.91777,8.09083
801968400,8.1341,8.17737,8.04757,8.1341
802314000,8.17737,8.22063,8.04757,8.04757
802400400,8.09083,8.17737,8.09083,8.17737
802486800,8.22063,8.3937,8.22063,8.22063
802573200,8.22063,8.35043,8.22063,8.30717
802659600,8.3937,8.3937,8.30717,8.3937
802918800,8.3937,8.3937,8.30717,8.3937
803005200,8.43697,8.48023,8.43697,8.48023
803091600,8.48023,8.48023,8.1341,8.22063
803178000,8.56676,8.56676,7.78796,7.8269
803264400,7.78796,8.13842,7.59326,8.13842
803523600,7.94372,7.98266,7.78796,7.8269
803610000,7.90478,7.94372,7.78796,7.86584
803696400,7.94372,8.09948,7.86584,7.90478
803782800,7.94372,8.17736,7.86584,8.13842
803869200,8.25524,8.411,8.2163,8.29418
804128400,8.56676,9.11192,8.56676,9.11192
804214800,9.1898,9.30662,8.95616,8.95616
804301200,9.03404,9.30662,8.9951,9.1898
804387600,9.34556,9.65707,9.34556,9.50131
804474000,9.69601,9.81283,9.57919,9.77389
804733200,9.57919,9.61813,9.15086,9.15086
804819600,9.1898,9.34556,9.15086,9.34556
804906000,9.46237,9.50131,9.26768,9.3845
804992400,9.34556,9.57919,9.26768,9.42343
805078800,9.50131,9.57919,9.42343,9.50131
805338000,9.26768,9.26768,9.11192,9.22874
805424400,9.22874,9.34556,9.1898,9.34556
805510800,9.42343,9.42343,9.1898,9.1898
805597200,9.26768,9.46237,9.1898,9.42343
805683600,9.46237,9.50131,9.26768,9.26768
805942800,9.1898,9.1898,8.72252,8.83934
806029200,8.72252,8.87828,8.56676,8.87828
806115600,8.56676,8.72252,8.411,8.6057
806202000,8.56676,8.68358,8.29418,8.33312
806288400,8.33312,8.56676,8.33312,8.37206
806547600,8.37206,8.411,8.25524,8.33312
806634000,8.33312,8.33312,7.78796,7.78796
806720400,7.55432,7.86584,7.55432,7.8269
806806800,8.37206,8.37206,8.13842,8.37206
806893200,8.411,8.48888,8.29418,8.33312
807152400,8.0216,8.09948,7.90478,8.0216
807238800,8.0216,8.0216,7.71008,7.78796
807325200,7.78796,7.8269,7.39856,7.4375
807411600,7.35962,7.71008,7.32069,7.71008
807498000,7.8269,7.86584,7.55432,7.78796
807757200,7.4375,7.71008,7.4375,7.6322
807843600,7.67114,7.8269,7.55432,7.71008
807930000,7.71008,7.71008,7.51538,7.51538
808016400,7.55432,7.67114,7.55432,7.67114
808102800,7.47644,7.55432,7.4375,7.55432
808362000,7.8269,7.86584,7.71008,7.71008
808448400,7.74902,7.86584,7.71008,7.8269
808534800,7.94372,8.29418,7.8269,8.25524
808621200,8.33312,8.52782,8.29418,8.37206
808707600,8.33312,8.48888,8.25524,8.44994
808966800,8.33312,8.411,8.33312,8.37206
809053200,8.37206,8.48888,8.33312,8.48888
809139600,8.48888,8.56676,8.29418,8.29418
809226000,8.25524,8.33312,8.0216,8.0216
809312400,7.94372,8.06054,7.8269,8.0216
809571600,8.06054,8.17736,8.0216,8.17736
809658000,8.2163,8.29418,8.13842,8.25524
809744400,8.17736,8.29418,8.17736,8.29418
809830800,8.29418,8.33312,8.17736,8.2163
809917200,8.25524,8.29418,8.17736,8.2163
810176400,8.25524,8.411,8.2163,8.37206
810262800,8.411,8.52782,8.37206,8.37206
810349200,8.411,8.56676,8.411,8.52782
810435600,8.6057,8.68358,8.6057,8.6057
810522000,8.68358,8.83934,8.64464,8.8004
810781200,8.95616,8.95616,8.6057,8.6057
810867600,8.48888,8.68358,8.48888,8.56676
810954000,8.6057,8.6057,8.48888,8.48888
811040400,8.56676,8.76146,8.56676,8.56676
811126800,8.64464,8.72252,8.52782,8.64464
811386000,8.44994,8.8004,8.44994,8.76146
811472400,8.8004,8.8004,8.56676,8.64464
811558800,8.56676,8.64464,8.48888,8.6057
811645200,8.56676,8.64464,8.48888,8.56676
811990800,8.56676,8.6057,8.48888,8.48888
812077200,8.48888,8.48888,8.37206,8.37206
812163600,8.33312,8.33312,8.06054,8.06054
812336400,8.0216,8.0216,7.67114,7.67114
812595600,7.59326,7.59326,7.47644,7.51538
812682000,7.47644,7.51538,7.4375,7.47644
812768400,7.47644,7.6322,7.47644,7.59326
812854800,7.6322,7.6322,7.55432,7.55432
812941200,7.55432,7.71008,7.55432,7.67114
813200400,7.67114,7.71008,7.6322,7.6322
813373200,7.47644,7.47644,7.24281,7.24281
813459600,7.16493,7.24281,7.08705,7.16493
813546000,7.24281,7.32069,7.08705,7.32069
813805200,7.24281,7.24281,7.16493,7.16493
813891600,7.24281,7.32069,7.16493,7.28175
813978000,7.32069,7.32069,7.20387,7.24281
814064400,7.24281,7.28175,7.16493,7.28175
814150800,7.28175,7.32069,7.20387,7.20387
814410000,7.16493,7.24281,7.16493,7.24281
814496400,7.24281,7.28175,7.20387,7.28175
814669200,7.20387,7.28175,7.20387,7.24281
814755600,7.16493,7.16493,7.00917,7.12599
815014800,6.81447,6.81447,6.54189,6.54189
815187600,6.54189,6.65871,6.50295,6.54189
815274000,6.58083,6.73659,6.58083,6.73659
815360400,6.77553,6.81447,6.61977,6.77553
815619600,6.77553,6.85341,6.73659,6.85341
815706000,6.93129,6.93129,6.73659,6.73659
815792400,6.65871,6.73659,6.58083,6.58083
815878800,6.54189,6.61977,6.54189,6.61977
815965200,6.69765,6.69765,6.58083,6.58083
816310800,6.61977,6.61977,6.54189,6.61977
816397200,6.61977,6.61977,6.38613,6.46401
816483600,6.38613,6.38613,6.23037,6.34719
816570000,6.26931,6.34719,5.99673,5.99673
816829200,6.15249,6.23037,6.07461,6.11355
816915600,6.11355,6.30825,6.07461,6.30825
817002000,6.30825,6.30825,6.23037,6.26931
817088400,6.23037,6.26931,6.07461,6.15249
817174800,6.11355,6.19143,6.07461,6.15249
817434000,6.34719,6.46401,6.34719,6.46401
817520400,6.42507,6.50295,6.34719,6.46401
817606800,6.46401,6.50295,6.34719,6.46401
817693200,6.46401,6.50295,6.38613,6.46401
817779600,6.50295,6.61977,6.46401,6.58083
818038800,6.69765,6.69765,6.46401,6.46401
818125200,6.54189,6.54189,6.42507,6.50295
818211600,6.42507,6.42507,6.34719,6.34719
818298000,6.34719,6.46401,6.34719,6.46401
818384400,6.46401,6.65871,6.46401,6.65871
818643600,6.65871,6.69765,6.58083,6.61977
818730000,6.65871,6.69765,6.61977,6.65871
818816400,6.65871,6.69765,6.61977,6.65871
818902800,6.69765,6.73659,6.58083,6.65871
818989200,6.61977,6.65871,6.50295,6.54189
819248400,6.54189,6.58083,6.38613,6.50295
819334800,6.34719,6.42507,6.30825,6.42507
819421200,6.46401,6.50295,6.30825,6.38613
819507600,6.38613,6.42507,6.34719,6.38613
819594000,6.50295,6.58083,6.46401,6.54189
819939600,6.61977,6.61977,6.46401,6.46401
820026000,6.46401,6.54189,6.42507,6.46401
820112400,6.46401,6.54189,6.46401,6.50295
820198800,6.58083,6.65871,6.54189,6.65871
820717200,6.69765,6.69765,6.46401,6.50295
820803600,6.07461,6.07461,6.07461,6.07461
821062800,6.07461,6.19143,6.07461,6.15249
821149200,6.19143,6.19143,6.07461,6.07461
821235600,5.99673,6.03567,5.87991,5.91885
821322000,5.84097,5.99673,5.76309,5.91885
821408400,5.91885,5.95779,5.80203,5.80203
821667600,5.91885,5.99673,5.87991,5.99673
821754000,5.99673,6.03567,5.91885,5.91885
821840400,5.95779,5.99673,5.87991,5.87991
821926800,5.84097,5.87991,5.80203,5.84097
822013200,5.91885,5.95779,5.87991,5.87991
822272400,6.11355,6.15249,6.03567,6.07461
822358800,6.11355,6.11355,5.99673,6.07461
822445200,6.03567,6.03567,5.95779,6.03567
822531600,5.99673,5.99673,5.91885,5.91885
822618000,5.91885,6.03567,5.91885,5.95779
822877200,5.99673,5.99673,5.84097,5.84097
822963600,5.84097,5.95779,5.84097,5.95779
823050000,5.95779,5.99673,5.91885,5.95779
823136400,5.99673,5.99673,5.91885,5.95779
823222800,5.99673,5.99673,5.91885,5.99673
823482000,5.99673,5.99673,5.87991,5.99673
823568400,5.95779,5.95779,5.87991,5.87991
823654800,5.87991,5.91885,5.80203,5.91885
823741200,5.95779,5.95779,5.84097,5.84097
823827600,5.91885,6.23037,5.91885,6.19143
824086800,6.19143,6.38613,6.19143,6.34719
824173200,6.34719,6.42507,6.30825,6.42507
824259600,6.42507,6.42507,6.30825,6.34719
824346000,6.34719,6.38613,6.30825,6.34719
825037200,6.38613,6.42507,6.26931,6.26931
825296400,6.26931,6.30825,6.23037,6.23037
825382800,6.23037,6.26931,5.95779,6.07461
825469200,6.03567,6.07461,5.91885,5.91885
825555600,5.91885,6.07461,5.91885,6.03567
825642000,6.07461,6.19143,6.03567,6.19143
825901200,6.07461,6.07461,5.95779,6.03567
825987600,5.99673,5.99673,5.72415,5.76309
826074000,5.60733,5.60733,5.45157,5.56839
826160400,5.52945,5.68521,5.45157,5.45157
826246800,5.52945,5.52945,5.37369,5.52945
826506000,5.41263,5.45157,5.29581,5.29581
826592400,5.29581,5.33475,4.9843,5.02324
826678800,5.02324,5.21794,5.02324,5.21794
826765200,5.21794,5.52945,5.21794,5.52945
826851600,5.64627,5.64627,5.49051,5.60733
827110800,5.68521,5.76309,5.64627,5.68521
827197200,5.80203,5.87991,5.80203,5.84097
827283600,5.84097,5.99673,5.84097,5.99673
827370000,6.07461,6.11355,5.99673,6.11355
827456400,6.11355,6.15249,5.95779,6.03567
827715600,6.11355,6.11355,5.91885,5.95779
827802000,5.87991,5.95779,5.80203,5.95779
827888400,5.95779,5.99673,5.84097,5.87991
827974800,5.80203,5.87991,5.80203,5.84097
828320400,5.84097,5.87991,5.80203,5.87991
828406800,5.87991,5.95779,5.87991,5.95779
828666000,6.07461,6.30825,6.07461,6.30825
828925200,6.46401,6.46401,6.30825,6.34719
829011600,6.34719,6.69765,6.34719,6.50295
829098000,6.42507,6.61977,6.42507,6.61977
829184400,6.65871,6.69765,6.38613,6.42507
829270800,6.38613,6.50295,6.34719,6.46401
829530000,6.89235,7.16493,6.73659,6.85341
829616400,6.89235,7.08705,6.85341,6.85341
829702800,7.00917,7.24281,6.97023,7.20387
829789200,7.20387,7.67114,7.12599,7.51538
829875600,7.47644,7.47644,7.28175,7.32069
830134800,7.16493,7.32069,7.16493,7.28175
830221200,7.47644,7.78796,7.47644,7.67114
830307600,7.78796,7.94372,7.51538,7.59326
830394000,7.59326,7.71008,7.4375,7.47644
830480400,7.4375,7.55432,7.4375,7.55432
830739600,7.8269,8.13842,7.8269,8.13842
830826000,8.2163,8.25524,7.86584,8.0216
830912400,8.17736,8.17736,7.94372,7.94372
830998800,7.98266,8.0216,7.8269,8.0216
831085200,8.09948,8.2163,8.09948,8.13842
831344400,9.04182,9.04182,9.04182,9.04182
831430800,9.32218,9.39228,9.11191,9.182
831517200,9.182,9.32218,9.11191,9.11191
831603600,8.97173,8.97173,8.62127,8.83154
831690000,8.83154,8.83154,8.62127,8.76145
831949200,8.83154,9.11191,8.83154,8.97173
832035600,9.04182,9.11191,8.97173,8.97173
832122000,9.04182,9.11191,8.83154,8.83154
832208400,8.83154,8.83154,8.76145,8.83154
832294800,8.83154,8.90163,8.55118,8.62127
832554000,8.62127,8.62127,8.13063,8.20072
832640400,8.27081,8.3409,8.20072,8.20072
832726800,8.27081,8.27081,8.13063,8.20072
832813200,8.27081,8.41099,8.20072,8.27081
832899600,8.27081,8.3409,8.20072,8.3409
833158800,8.41099,8.48108,8.3409,8.3409
833245200,8.3409,8.48108,8.13063,8.13063
833331600,8.06054,8.06054,7.92035,7.99044
833418000,7.99044,8.06054,7.85026,7.92035
833504400,7.92035,7.99044,7.85026,7.92035
833763600,7.92035,7.99044,7.85026,7.85026
833850000,7.78017,7.85026,7.71008,7.78017
833936400,7.78017,7.85026,7.71008,7.71008
834022800,7.71008,7.78017,7.71008,7.78017
834109200,7.78017,7.85026,7.78017,7.78017
834368400,8.13063,8.20072,7.99044,7.99044
834454800,8.06054,8.13063,7.92035,7.92035
834541200,7.99044,8.13063,7.85026,8.13063
834627600,8.41099,8.62127,8.41099,8.62127
834714000,8.90163,9.182,8.76145,8.83154
834973200,8.97173,9.04182,8.76145,8.83154
835059600,8.83154,8.83154,8.48108,8.48108
835146000,8.41099,8.41099,8.27081,8.3409
835318800,8.27081,8.27081,8.06054,8.06054
835578000,8.27081,8.27081,8.13063,8.13063
835664400,8.13063,8.13063,7.99044,8.06054
835750800,8.06054,8.20072,7.99044,8.20072
835837200,8.20072,8.41099,8.13063,8.41099
835923600,8.41099,8.41099,8.06054,8.06054
836269200,8.13063,8.20072,7.99044,7.99044
836355600,7.99044,8.06054,7.99044,7.99044
836442000,7.99044,7.99044,7.85026,7.85026
836528400,7.85026,7.92035,7.78017,7.85026
836787600,7.78017,7.78017,7.35962,7.42971
836874000,7.42971,7.4998,7.28953,7.28953
836960400,7.35962,7.4998,7.35962,7.35962
837046800,7.42971,7.71008,7.42971,7.56989
837133200,7.4998,7.4998,7.35962,7.42971
837392400,7.42971,7.4998,7.35962,7.42971
837478800,7.28953,7.28953,7.00916,7.00916
837565200,7.00916,7.14934,6.883,7.00916
