time,open,high,low,close,PMA12,PMA144,PMA169,PMA288,PMA338,PMA576,PMA676
1022160600,1.156427,1.242855,1.145712,1.196427,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1022247000,1.214285,1.224998,1.197141,1.209999,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1022592600,1.213571,1.232142,1.157142,1.157142,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1022679000,1.164285,1.164285,1.085713,1.10357,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1022765400,1.107856,1.107856,1.071428,1.071428,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1022851800,1.07857,1.07857,1.071428,1.076427,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1023111000,1.079999,1.149285,1.076427,1.12857,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1023197400,1.135713,1.139999,1.110713,1.117856,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1023283800,1.110713,1.159285,1.107142,1.147142,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1023370200,1.15,1.232142,1.148713,1.182142,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1023456600,1.177857,1.177857,1.10357,1.11857,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1023715800,1.134999,1.174999,1.134927,1.156498,1.13881425,NaN,NaN,NaN,NaN,NaN,NaN
1023802200,1.156498,1.18857,1.12857,1.15357,1.1410843653846154,NaN,NaN,NaN,NaN,NaN,NaN
1023888600,1.153642,1.182142,1.089356,1.092856,1.1336646168639053,NaN,NaN,NaN,NaN,NaN,NaN
1023975000,1.104285,1.122142,1.079999,1.082856,1.1258479065771507,NaN,NaN,NaN,NaN,NaN,NaN
1024061400,1.082142,1.085642,0.979999,0.986428,1.104398690180666,NaN,NaN,NaN,NaN,NaN,NaN
1024320600,1.01357,1.059285,0.917856,0.922142,1.0763591993836403,NaN,NaN,NaN,NaN,NaN,NaN
1024407000,0.93857,0.939285,0.842142,0.910713,1.0508751687092341,NaN,NaN,NaN,NaN,NaN,NaN
1024493400,0.911428,0.996428,0.892856,0.951428,1.035575604292429,NaN,NaN,NaN,NaN,NaN,NaN
1024579800,0.971428,1.039999,0.949999,0.957142,1.0235088959397476,NaN,NaN,NaN,NaN,NaN,NaN
1024666200,0.982142,0.989285,0.947856,0.979285,1.0167052196413249,NaN,NaN,NaN,NaN,NaN,NaN
1024925400,0.979285,1.014285,0.957142,0.97857,1.0108382627734287,NaN,NaN,NaN,NaN,NaN,NaN
1025011800,0.98857,1.007142,0.947142,0.964285,1.0036762223467472,NaN,NaN,NaN,NaN,NaN,NaN
1025098200,0.96357,0.996428,0.921428,0.98857,1.0013521881395553,NaN,NaN,NaN,NaN,NaN,NaN
1025184600,1.009285,1.01857,0.943499,0.94357,0.9924626207334699,NaN,NaN,NaN,NaN,NaN,NaN
1025271000,0.960713,1.01357,0.960713,0.999285,0.9935122175437053,NaN,NaN,NaN,NaN,NaN,NaN
1025530200,0.999999,1.046428,0.992856,1.027856,0.9987958763831353,NaN,NaN,NaN,NaN,NaN,NaN
1025616600,1.05357,1.195642,1.039285,1.172856,1.0255743569395759,NaN,NaN,NaN,NaN,NaN,NaN
1025703000,1.17857,1.214285,1.117856,1.214285,1.0546067635642564,NaN,NaN,NaN,NaN,NaN,NaN
1025875800,1.214285,1.299284,1.213571,1.276427,1.08873295378514,NaN,NaN,NaN,NaN,NaN,NaN
1026135000,1.252142,1.252142,1.167857,1.175714,1.1021146532028108,NaN,NaN,NaN,NaN,NaN,NaN
1026221400,1.174999,1.196427,1.114285,1.160713,1.1111297834793015,NaN,NaN,NaN,NaN,NaN,NaN
1026307800,1.161427,1.17857,1.132213,1.16357,1.1191975090978705,NaN,NaN,NaN,NaN,NaN,NaN
1026394200,1.154285,1.278569,1.132856,1.269284,1.1422877384674288,NaN,NaN,NaN,NaN,NaN,NaN
1026480600,1.278569,1.279999,1.207141,1.207856,1.1523751633185937,NaN,NaN,NaN,NaN,NaN,NaN
1026739800,1.242855,1.24857,1.076427,1.142856,1.1509106766541948,NaN,NaN,NaN,NaN,NaN,NaN
1026826200,1.152856,1.157142,1.104285,1.126427,1.1471439571689341,NaN,NaN,NaN,NaN,NaN,NaN
1026912600,1.144999,1.16357,1.075713,1.089285,1.1382425791429442,NaN,NaN,NaN,NaN,NaN,NaN
1026999000,1.117142,1.166427,1.110713,1.149285,1.1399414131209529,NaN,NaN,NaN,NaN,NaN,NaN
1027085400,1.152856,1.160713,1.122142,1.16,1.1430273495638832,NaN,NaN,NaN,NaN,NaN,NaN
1027344600,1.135713,1.179284,1.11557,1.170713,1.1472866804002089,NaN,NaN,NaN,NaN,NaN,NaN
1027431000,1.176427,1.213571,1.130713,1.146427,1.1471544218771,NaN,NaN,NaN,NaN,NaN,NaN
1027517400,1.146427,1.159285,1.074285,1.114285,1.1420975877421615,NaN,NaN,NaN,NaN,NaN,NaN
1027603800,1.124999,1.127856,1.034999,1.036428,1.1258407280895213,NaN,NaN,NaN,NaN,NaN,NaN
1027690200,1.049999,1.05857,0.849999,0.871428,1.086700308383441,NaN,NaN,NaN,NaN,NaN,NaN
1027949400,0.896428,0.924285,0.849999,0.876428,1.0543507224782962,NaN,NaN,NaN,NaN,NaN,NaN
1028035800,0.893571,0.942856,0.893571,0.914356,1.0328130728662506,NaN,NaN,NaN,NaN,NaN,NaN
1028122200,0.928571,0.959999,0.905713,0.95357,1.0206218308868273,NaN,NaN,NaN,NaN,NaN,NaN
1028208600,0.95007,0.959999,0.877856,0.891428,1.0007458569042385,NaN,NaN,NaN,NaN,NaN,NaN
1028295000,0.886428,0.887856,0.706428,0.777856,0.9664551096882018,NaN,NaN,NaN,NaN,NaN,NaN
1028554200,0.778571,0.812856,0.760714,0.774999,0.9370003235823247,NaN,NaN,NaN,NaN,NaN,NaN
1028640600,0.795713,0.803571,0.742856,0.760714,0.9098793507235055,NaN,NaN,NaN,NaN,NaN,NaN
1028727000,0.760714,0.793571,0.742856,0.793571,0.8919857583045047,NaN,NaN,NaN,NaN,NaN,NaN
