Train_Years,Test_Years,Strategy_Final_Value,Hold_Final_Value
2008-2008,2009-2024,57937.41,45717.32
2008-2009,2010-2024,46329.67,37747.35
2008-2010,2011-2024,41344.04,32977.61
2008-2011,2012-2024,37810.41,30642.74
2008-2012,2013-2024,34640.38,28077.09
2008-2013,2014-2024,28904.56,24070.67
2008-2014,2015-2024,24522.74,21364.59
2008-2015,2016-2024,22673.38,20175.5
2008-2016,2017-2024,21591.51,19126.66
2008-2017,2018-2024,19005.13,16723.63
2008-2018,2019-2024,18850.06,16530.09
2008-2019,2020-2024,14782.85,13256.88
2008-2020,2021-2024,12721.03,12637.1
2008-2021,2022-2024,10532.22,10547.71
2008-2022,2023-2024,9512.82,9761.75
2008-2023,2024-2024,9542.38,9890.49
