time,test_value
2008-01-02,10000.0
2008-01-03,10000.516757361343
2008-01-04,10000.941613624831
2008-01-07,10001.574840874491
2008-01-08,10001.344553401463
2008-01-09,10003.30501713418
2008-01-10,10002.962157792896
2008-01-11,10001.86178988452
2008-01-14,10003.566167026293
2008-01-15,10004.551981533205
2008-01-16,10004.283131425318
2008-01-17,10004.716374063973
2008-01-18,10003.245431209541
2008-01-22,10002.115254949853
2008-01-23,10001.152683081595
2008-01-24,10003.578961321226
2008-01-25,10001.985734071566
2008-01-28,10002.259536267282
2008-01-29,10002.503066378966
2008-01-30,10002.508976710222
2008-01-31,10003.830015388996
2008-02-01,10003.472203959882
2008-02-12,10001.413913409055
2008-02-13,10000.867060223367
2008-02-14,9999.563066378965
2008-02-15,9999.760302862023
2008-02-19,9999.278593412851
2008-02-20,9999.493449676336
2008-02-21,9999.17621319328
2008-02-22,9999.298401764165
2008-02-25,9999.932778905937
2008-02-26,10001.394392530769
2008-02-27,10002.368769672541
2008-02-29,10001.443162203308
2008-03-03,10001.74249143291
2008-03-04,10002.424584179453
2008-03-05,10002.704200882083
2008-03-06,10001.922395608568
2008-03-07,10002.03020703768
2008-03-10,10002.307922642452
2008-03-11,10002.709440442939
2008-03-12,10002.612299784225
2008-03-13,10002.542587257252
2008-03-14,10001.026788139336
2008-03-17,10000.58659649065
2008-03-18,10002.509536267282
2008-03-19,10003.258865496884
2008-03-20,10004.002571868257
2008-03-24,10003.969904175658
2008-03-25,10004.237140658715
2008-03-26,10004.227428131742
2008-03-27,10004.457236483058
2008-03-28,10003.470191648685
2008-03-31,10002.700287473028
2008-04-01,10003.712092746544
2008-04-02,10002.830766594741
2008-04-03,10003.013146814314
2008-04-07,10002.228386375169
2008-04-08,10003.03571868257
2008-04-09,10003.80038329737
2008-04-10,10003.979712526972
2008-04-11,10002.590958243427
2008-04-14,10004.177619780428
2008-04-15,10003.810191648685
2008-04-16,10004.277428131743
2008-04-17,10003.838003077799
2008-04-18,10003.098673848197
2008-04-21,10004.155910331256
2008-04-22,10004.208961321227
2008-04-23,10004.83343428734
2008-04-24,10005.926006155598
2008-04-25,10004.812108135538
2008-04-28,10003.687539345081
2008-04-29,10003.225350774195
2008-04-30,10003.122683081596
2008-05-02,10002.422778905939
2008-05-05,10002.303258027652
2008-05-06,10002.14087780808
2008-05-07,10000.654887041477
2008-05-08,9999.955749460561
2008-05-09,9999.758417153162
2008-05-12,10000.308129680132
2008-05-13,10000.570509899704
2008-05-14,10000.785461987532
