Train_Years,Test_Years,Strategy_Final_Value,Hold_Final_Value
2008-2008,2009-2024,254185.21,296256.12
2008-2009,2010-2024,117290.62,143122.91
2008-2010,2011-2024,136450.26,148709.68
2008-2011,2012-2024,224955.99,177854.03
2008-2012,2013-2024,147147.34,125099.01
2008-2013,2014-2024,114158.96,101045.66
2008-2014,2015-2024,85276.23,82350.55
2008-2015,2016-2024,138798.85,106161.57
2008-2016,2017-2024,129279.42,93067.18
2008-2017,2018-2024,85705.14,68420.92
2008-2018,2019-2024,99990.59,77069.77
2008-2019,2020-2024,50776.55,41747.57
2008-2020,2021-2024,28886.8,23771.3
2008-2021,2022-2024,19865.45,17411.87
2008-2022,2023-2024,27360.69,25644.24
2008-2023,2024-2024,18071.34,16916.96
