time,strategy_value,hold_value
2008-01-02,10000.0,10000.0
2008-01-03,9665.402784229336,9665.402784229336
2008-01-04,9428.633552042282,9428.633552042282
2008-01-07,8772.371814857404,8771.23016654924
2008-01-08,8588.933933638767,8555.707083491183
2008-01-09,8862.378216069477,8817.907014498103
2008-01-10,8848.708381838549,8787.948731987408
2008-01-11,8830.911787824158,8798.202281827867
2008-01-14,8714.057626940965,8618.884138227579
2008-01-15,8977.780487801592,8854.63527119227
2008-01-16,8583.07421916996,8483.572445638667
2008-01-17,8581.389489681043,8469.369948881224
2008-01-18,8596.722463952323,8487.10160033887
2008-01-21,8517.503890574859,8425.595885412053
2008-01-22,7925.750201875419,7839.10150726751
2008-01-23,8011.729124106441,7794.927923434262
2008-01-24,8253.756103652693,8027.904801062933
2008-01-25,8731.312606172838,8440.747534579463
2008-01-28,8980.159915693628,8575.406867341688
2008-01-29,9281.401210656239,8823.333408614042
2008-01-30,9346.05472766062,8897.773231895195
2008-01-31,9000.36331807049,8749.62119714046
2008-02-01,8449.611851148258,8614.643372929373
2008-02-12,7751.025750339985,8217.91131797226
2008-02-13,8096.888086843337,8353.199417613401
2008-02-14,8693.644911592162,8784.876759994968
2008-02-15,9376.291570081896,9051.918203685947
2008-02-18,9618.222541135241,9087.979275703776
2008-02-19,9658.200407034461,9174.200328419733
2008-02-20,9531.173509740534,9076.08404775612
2008-02-21,9923.84767022862,9356.944211918879
2008-02-22,9864.499882880305,9273.947378037903
2008-02-25,9821.185204627325,9249.910566748864
2008-02-26,9961.99040855631,9394.229052015793
2008-02-27,10242.234841221793,9634.595135507378
2008-02-29,10136.767565887347,9483.15927313959
2008-03-03,9818.69375193504,9194.109283064454
2008-03-04,10284.683137008693,9610.951550916125
2008-03-05,10226.447397128251,9574.217972405917
2008-03-06,10753.032610932058,10007.510923503916
2008-03-07,10715.748173806256,9964.64415784328
2008-03-10,10333.972177788857,9615.384561815908
2008-03-11,10575.56192241234,9852.55195865801
2008-03-12,10736.657330333099,9976.455389872037
2008-03-13,10423.53069097269,9684.598532892349
2008-03-14,10344.9647034448,9620.816860331173
2008-03-17,10017.984176515747,9279.616724053656
2008-03-18,10124.83901202322,9385.49662147562
2008-03-19,10528.760606061665,9767.65064399898
2008-03-20,10636.805998664067,9872.49436791479
2008-03-21,11063.476725143732,10280.112328918784
2008-03-24,11439.464338446785,10615.399765115015
2008-03-25,11464.567550813126,10638.856342772257
2008-03-26,11251.236205700241,10428.56752205004
2008-03-27,11131.089539012837,10271.635524691643
2008-03-28,10972.246504115936,10176.796480394807
2008-03-31,11055.162334789682,10190.926572088354
2008-04-01,10900.001939801028,10086.195382652106
2008-04-02,11306.273724227902,10480.105736682439
2008-04-03,11327.25179337887,10462.071981678057
2008-04-07,11301.150044322441,10379.043585241414
2008-04-08,11306.748650945367,10394.51316941464
2008-04-09,11150.971571257176,10270.741389903525
2008-04-10,11372.282762123927,10460.856546263904
2008-04-11,11359.732144046602,10466.747340472557
2008-04-14,11240.090900252557,10389.639482107732
2008-04-15,11368.359866269104,10608.415604916687
2008-04-16,11638.513745705332,10634.316604880669
2008-04-17,11557.319545225986,10466.027412888296
2008-04-18,11085.080877113309,10138.708173751276
2008-04-21,11462.18266277392,10388.218447294941
2008-04-22,11544.078871736789,10433.809298208509
2008-04-23,11523.297458836041,10305.670920726763
2008-04-24,11360.150077670221,10158.937068514118
2008-04-25,11446.10794555031,10234.93219525611
2008-04-28,11704.033697252955,10468.867284314134
2008-04-29,11609.948465964433,10353.350827306589
2008-04-30,11731.298313716952,10448.715860170974
2008-05-02,12233.47284004079,10848.031947375503
2008-05-05,12080.439949968277,10713.166689895541
2008-05-06,12146.426735474362,10776.337332398274
2008-05-07,12238.163621539585,10850.794238227474
2008-05-08,12151.27052932645,10770.328951510472
2008-05-09,11839.064638357484,10498.644111347587
2008-05-12,11895.37215339779,10562.111458425
2008-05-13,12206.966099858535,10822.71313287542
2008-05-14,12131.873520729385,10760.54637911147
2008-05-15,12244.163167782623,10839.732738401744
2008-05-16,12357.884900756779,10939.408795132189
2008-05-19,12389.84331483002,10968.164176786666
2008-05-20,12161.386644727805,10767.703933167588
2008-05-21,12058.96908768766,10670.381762282012
2008-05-22,11939.00237708373,10567.161545441328
2008-05-23,11460.883395272534,10162.129313946407
2008-05-26,11247.071933272815,10008.292500861518
2008-05-27,11567.435195433529,10227.218852415419
2008-05-28,11512.341337003956,10221.033655625328
2008-05-29,11616.221185978458,10289.04637110185
2008-05-30,11537.594510593193,10174.416726967425
2008-06-02,11450.714986861938,10168.757808457856
2008-06-03,11226.092850728202,9959.755962992998
2008-06-04,11360.785393126076,10089.47415823071
2008-06-05,11508.409327237561,10211.285013296714
2008-06-06,11604.425716723059,10299.062625932618
2008-06-09,11423.301044794429,10022.823302284161
2008-06-10,11138.262582426083,9781.14799344907
2008-06-11,11116.964320101455,9832.109042025051
2008-06-12,10488.56611144981,9422.614349169588
2008-06-13,10402.515410011141,9379.38510192067
2008-06-16,10273.165289678103,9387.081094870213
2008-06-17,10850.152514226338,9600.162271769086
2008-06-18,10911.94587381182,9650.977479301822
2008-06-19,10611.63610393437,9420.800361424786
2008-06-20,10662.27387368067,9412.777124993085
2008-06-23,10726.652417129335,9470.228625619018
2008-06-24,10313.816016690884,9244.05046006262
2008-06-25,10753.689496529058,9590.86180287349
2008-06-26,11109.448464021014,9684.795218178217
2008-06-27,11093.234345150971,9623.64935918728
2008-06-30,11224.174704086818,9748.014374595294
2008-07-01,10905.14505764416,9520.073761141059
2008-07-02,10414.70655932946,9117.1430338877
2008-07-03,10480.519902101698,9017.064474656157
2008-07-04,10380.171004540487,8929.787374892761
2008-07-07,10384.89296972158,8950.821207127308
2008-07-08,9855.1084757654,8558.684529732189
2008-07-09,10050.69590976765,8702.911529708494
2008-07-10,9992.57025592335,8667.18529190181
2008-07-11,10261.136671023716,8957.343097904071
2008-07-14,10215.79127046353,8828.051194065964
2008-07-15,9617.608946786659,8337.158297406295
2008-07-16,9648.581119565919,8336.587668401085
2008-07-17,10312.310609715205,8910.10200681761
2008-07-18,10765.592937137586,9205.238992495091
2008-07-21,11327.676969832395,9643.488610114404
2008-07-22,11221.548882949486,9512.452160901286
2008-07-23,11207.544985964185,9501.83293043933
2008-07-24,11361.402733468582,9624.428404673828
2008-07-25,11215.724169488429,9497.355105907496
2008-07-28,11226.702357323307,9507.012778376387
