time,open,high,low,close,PMA12,PMA144,PMA169,PMA288,PMA338,PMA576,PMA676,ATR Short Stop Loss,ATR Long Stop Loss,MHULL,SHULL,MACD,Signal Line,Histogram,Cross,DPO,Midline,Upper Band,Lower Band,Zero Line,Buy Arrow,Sell Arrow,Shapes,Shapes
1728907200,64920.05,65000,64827.58,64931.88,64822.47601406647,63375.43746351701,63271.23551209595,NaN,NaN,62543.24259337771,62497.37638961773,65301.65457785767,64525.92542214233,65101.56447672302,65043.44828537072,284.5680779388931,317.64306088408273,-33.07498294518962,NaN,371.81346153812046,578.7485384611973,661.975219976891,495.52185694550354,0,NaN,NaN,NaN,NaN
1728908100,64931.87,64931.87,64743,64767.6,64814.033550363936,63394.63970539953,63288.839800188936,NaN,NaN,62550.95267104365,62504.08310633969,65232.21496515355,64442.65503484645,65122.26028728613,65073.582495945855,259.11138728284277,309.2136436900182,-50.102256407175446,NaN,235.53230769195943,533.5486730765806,644.907658775804,422.1896873773573,0,NaN,NaN,NaN,NaN
1728909000,64767.6,65000,64767.44,64903.47,64827.7930041541,63415.45115773885,63307.835449598475,NaN,NaN,62559.10697720987,62511.171398492304,65303.80889621401,64463.63110378599,65139.931160207525,65101.56447672302,247.05248278271029,299.7602917659428,-52.707808983232496,NaN,198.1907692304303,485.82569230735027,615.6441077370317,356.0072768776688,0,NaN,NaN,NaN,NaN
1728909900,64903.48,64946.6,64863.34,64868.05,64833.98638813039,63435.487003839,63326.19091489731,NaN,NaN,62567.11024591971,62518.134112233834,65237.628975055864,64572.31102494413,65153.254780294454,65122.26028728613,231.96368315688596,288.20889685753514,-56.245213700649174,NaN,201.90269230734702,437.1101346150426,570.7130236566211,303.5072455734641,0,NaN,NaN,NaN,NaN
1728910800,64868.06,64878,64756.49,64831.3,64833.57309764879,63454.7395968895,63343.898080604406,NaN,NaN,62574.958390647895,62524.96768945028,65161.260119694736,64473.22988030526,65161.11619410948,65139.931160207525,214.56688933999249,275.6182470679875,-61.051357727995025,NaN,115.05923076889303,383.70790384581267,524.3735188026612,243.04228888896407,0,NaN,NaN,NaN,NaN
1728911700,64831.3,64913.82,64685.83,64731.98,64817.94339031821,63472.35670589792,63360.22845612671,NaN,NaN,62582.43506866991,62531.48766673403,65201.274754002254,64398.37524599775,65161.72535985709,65153.254780294454,190.56875299524836,261.17675446793146,-70.6080014726831,NaN,39.53134615351155,324.70626923042875,470.5560243377563,178.85651412310116,0,NaN,NaN,NaN,NaN
1728912600,64731.99,64991.69,64660.56,64989.98,64844.41056103849,63493.28944098898,63379.40200370169,NaN,NaN,62590.78011175944,62538.75056875254,65294.09048585924,64358.15951414076,65163.10545466572,65161.11619410948,190.17626722092973,246.90337132580316,-56.72710410487343,NaN,63.26403846120229,276.15042307658297,420.7988771584489,131.50196899471706,0,NaN,NaN,NaN,NaN
1728913500,64989.98,65292,64950,65150.01,64891.425859340256,63516.140759044305,63400.232686011084,NaN,NaN,62599.650925930124,62546.464776821216,65609.44330829786,64632.556691702135,65169.25204173539,65161.72535985709,200.46743913881073,234.96324323321136,-34.495804094400626,NaN,278.4719230765986,248.63176923043065,373.1716336076065,124.09190485325482,0,NaN,NaN,NaN,NaN
1728914400,65150.01,65500,65116,65458,64978.59111174945,63542.925024436794,63424.44171323448,NaN,NaN,62609.55854837057,62555.066062561775,65835.91164341944,64780.088356580556,65187.414514584634,65163.10545466572,230.8147967481127,227.69886406715847,3.115932680954245,227.69886406715847,457.8017307689006,239.07763461504655,350.0260710175964,128.1291982124967,0,457.8017307689006,NaN,350.0260710175964,NaN
1728915300,65458,66116.66,65270,66051.51,65143.655556095684,63577.52619651353,63455.348398961134,NaN,NaN,62621.48905600187,62565.39529132821,66519.29152603235,64867.36847396766,65230.26722149213,65169.25204173539,299.3063755388939,229.33645268938076,69.96992284951315,NaN,852.7267307689035,281.42942307658666,462.94577404310354,99.91307211006978,0,NaN,NaN,NaN,NaN
1728916200,66051.5,66239.83,65834.53,66159.99,65300.01470131173,63613.14638690645,63487.16771191453,NaN,NaN,62633.75422391867,62576.014478059886,66657.12713131575,65417.23286868425,65295.46327070879,65187.414514584634,358.2106452406297,240.3474813513571,117.86316388927258,NaN,1182.9924999996874,362.54732692274337,645.8039274908202,79.2907263546665,0,NaN,NaN,NaN,NaN
1728917100,66159.99,66299.93,65900,65922,65395.70474726377,63644.99264363877,63515.81279765671,NaN,NaN,62645.15195624478,62585.899221108455,66730.26983622175,65469.66016377824,65371.235179404575,65230.26722149213,381.29358423497615,255.26315929049775,126.0304249444784,NaN,1179.4638461535214,456.9404807688996,797.8362489501596,116.04471258763948,0,NaN,NaN,NaN,NaN
1728918000,65922,66094,65843,65976.13,65485.000939992424,63677.146262347196,63544.757705919576,NaN,NaN,62656.69780734965,62595.914673926454,66520.4941336345,65416.50586636551,65454.546404598696,65295.46327070879,399.35134459539404,273.8617883392209,125.48955625617316,NaN,1070.5951923073662,544.1809230765932,906.3337587439673,182.02808740921915,0,NaN,NaN,NaN,NaN
1728918900,65976.14,66111.16,65946.41,66012,65566.07771845513,63709.351141487234,63573.78408584993,NaN,NaN,62668.32797092903,62606.00650649979,66524.8420526606,65532.7279473394,65541.49341427026,65371.235179404575,411.80957456898614,295.7776422535535,116.03193231543264,NaN,1126.5646153842754,636.647115384286,1010.6681397410307,262.62609102754135,0,NaN,NaN,NaN,NaN
1728919800,66012,66085.99,65838.15,65872.49,65613.21806946203,63739.187539535684,63600.82768483993,NaN,NaN,62679.43425179236,62615.65638388089,66496.67762032771,65427.46237967229,65624.2175623411,65454.546404598696,405.74830660449516,319.6864815434698,86.06182506102533,NaN,1051.3555769227532,730.276749999672,1087.875168876535,372.6783311228088,0,NaN,NaN,NaN,NaN
1728920700,65872.49,66042,65800,65870,65652.7229818525,63768.578056231745,63627.52382972417,NaN,NaN,62690.4934051657,62625.270397517874,66449.28136173286,65392.718638267135,65699.8834687779,65541.49341427026,396.17690513255366,342.575441311428,53.60146382112566,NaN,964.7138461535142,822.7949999996723,1131.631019067483,513.9589809318614,0,NaN,NaN,NaN,NaN
1728921600,65870,66014,65657.29,65709.09,65661.39483079826,63795.34373821475,63652.01284349212,NaN,NaN,62700.95647828471,62634.380647451355,66430.40876446624,65240.88123553376,65762.73848882531,65624.2175623411,371.3269819835041,361.5598349608384,9.76714702266571,NaN,816.2413461535107,898.0927307689032,1132.2572255025407,663.9282360352657,0,NaN,NaN,NaN,NaN
1728922500,65709.1,65757.99,65609.04,65671.15,65662.89562606007,63821.21692803248,63675.76739827457,NaN,NaN,62711.251776453566,62643.35190107779,66160.61420986151,65206.41579013849,65813.54999215798,65699.8834687779,344.59946975010826,374.20257640550454,-29.60310665539629,374.20257640550454,603.17865384584,930.5634038458272,1118.0549224799017,743.0718852117527,0,NaN,603.17865384584,NaN,743.0718852117527
1728923400,65671.14,65927.97,65669.67,65790,65682.45014512775,63848.37255661134,63700.64072300075,NaN,NaN,62721.92334741906,62652.64775956796,66329.51033772854,65268.12966227146,65857.96385931596,65762.73848882531,329.2129633592631,377.5255306077678,-48.312567248504706,NaN,597.7642307688948,944.5596538458267,1111.3283706820605,777.790937009593,0,NaN,NaN,NaN,NaN
1728924300,65790,65790.01,65650,65703.99,65685.76396895424,63873.96727996843,63724.209538024275,NaN,NaN,62732.259800287626,62661.66206456185,66177.86995646221,65262.14004353779,65894.63326707554,65813.54999215798,306.54509694638546,371.78491413062955,-65.23981718424409,NaN,486.3865384612145,907.9256346150578,1107.5457948875828,708.3054743425326,0,NaN,NaN,NaN,NaN
1728925200,65703.99,65780,65637.5,65667.99,65683.02951219205,63898.71242093438,63747.07754345929,NaN,NaN,62742.43564153446,62670.54338785709,66155.42353100063,65262.076468999374,65924.176818199,65857.96385931596,282.4201862588525,360.79898102217135,-78.37879476331887,NaN,366.2911538458284,826.2554999996719,1048.7697551827675,603.7412448165763,0,NaN,NaN,NaN,NaN
1728926100,65667.99,65738,65459,65569.33,65665.53727954712,63921.755422024944,63768.51580765389,NaN,NaN,62752.23423549794,62679.10701152664,66116.50042164345,65080.49957835656,65945.56814774446,65894.63326707554,252.43012590526632,344.47440116771276,-92.04427526244643,NaN,192.22634615351126,727.5317499996709,974.5501067573674,480.5133932419743,0,NaN,NaN,NaN,NaN
1728927000,65569.33,65809.87,65569.33,65796.01,65685.61000577064,63947.60720930736,63792.36868050502,NaN,NaN,62762.78458476831,62688.31499672154,66187.10682009747,65192.09317990252,65966.3951823851,65924.176818199,244.13967832447815,325.84441269610073,-81.70473437162258,NaN,190.05096153813793,639.477326922748,898.3443451104517,380.6103087350444,0,NaN,NaN,NaN,NaN
1728927900,65796.01,65846,65640,65640.01,65678.59462026745,63970.95069607553,63814.10563720496,NaN,NaN,62772.757636467555,62697.03492287599,66218.36276151909,65267.637238480915,65982.57374184878,65945.56814774446,222.4176504099014,305.4743397855903,-83.0566893756889,NaN,163.86499999967054,543.2073653842875,788.9179051684464,297.4968256001287,0,NaN,NaN,NaN,NaN
1728928800,65640,65880.36,65579.9,65813.62,65699.36775561092,63996.36682440552,63837.629335590784,NaN,NaN,62783.29788729436,62706.24196889408,66258.31756426772,65201.94243573227,65999.02422485915,65966.3951823851,216.71352426133672,285.53396413323287,-68.82043987189616,NaN,96.18711538429488,447.69051923044174,673.074302681801,222.30673577908252,0,NaN,NaN,NaN,NaN
1728929700,65813.61,65905.23,65753.12,65867.15,65725.18040859385,64022.17073027579,63861.50604928972,NaN,NaN,62793.98714938346,62715.579954214925,66272.48809539145,65385.86190460854,66016.54056116437,65982.57374184878,214.04500919608836,268.0581893790756,-54.01318018298724,NaN,127.57442307659949,363.97657692275027,553.0877369296393,174.8654169158613,0,NaN,NaN,NaN,NaN
1728930600,65867.14,65960,65795.36,65958,65760.99880727172,64048.8718236513,63886.170684003955,NaN,NaN,62804.95426498351,62725.158743124186,66318.66537429208,65436.69462570793,66037.00886040679,65999.02422485915,216.76232634787448,253.85406233438295,-37.09173598650847,NaN,119.46461538429139,294.2989038458283,447.24129895313666,141.35650873851995,0,NaN,NaN,NaN,NaN
1728931500,65957.99,65958,65766,65769.59,65762.32052922992,64072.605867463004,63908.32855830979,NaN,NaN,62815.230298727074,62734.15263162308,66311.61784755692,65412.382152443075,66054.11383225108,66016.54056116437,201.39119504117116,239.65164363237272,-38.260448591201566,NaN,40.93673076889536,238.07471153813384,377.2527204298368,98.89670264643084,0,NaN,NaN,NaN,NaN
1728932400,65769.59,66020,65723.4,66005,65799.65583242533,64099.25957963593,63932.995281153206,NaN,NaN,62826.28669283894,62743.81540080588,66380.13800130285,65363.26199869714,66073.80891601388,66037.00886040679,205.83237484314304,228.4613411764569,-22.628966333313855,NaN,34.26403846121684,181.72469230736607,289.96836993234785,73.48101468238428,0,NaN,NaN,NaN,NaN
1728933300,66005,66059.99,65761.34,65870.82,65810.60416589836,64123.694895778885,63955.793219021994,NaN,NaN,62836.839667907094,62753.05322827765,66426.40207263838,65394.92792736163,66090.39633562666,66054.11383225108,196.2624459148501,218.8882589160122,-22.6258130011621,NaN,81.96999999968102,141.2830384612127,214.5388529221495,68.02722400027592,0,NaN,NaN,NaN,NaN
1728934200,65870.82,66055.12,65869.39,66049.98,65847.43121729861,64150.26434549228,63980.43071056291,NaN,NaN,62847.97706940481,62762.793041488054,66415.25942459276,65509.25057540723,66108.38806106128,66073.80891601388,200.81999509166053,213.15379993672266,-12.333804845062133,NaN,145.23749999968277,119.17767307659815,161.774002116165,76.5813440370313,0,NaN,NaN,NaN,NaN
1728935100,66049.98,66072.3,65900,65939.4,65861.58026079113,64174.94207865791,64003.4774080857,NaN,NaN,62858.692573497,62772.17740473329,66425.17589426471,65547.12410573529,66122.99528636706,66090.39633562666,193.28098096988106,207.50283356398964,-14.221852594108583,NaN,200.63846153813938,120.01888461506095,163.57549663716492,76.46227259295699,0,200.63846153813938,NaN,163.57549663716492,NaN
1728936000,65939.41,65988.24,65815.56,65986.13,65880.74175913096,64199.923981021246,64026.80273269646,NaN,NaN,62869.53291119718,62781.6720948227,66334.41190181724,65469.38809818276,66134.89485088985,66108.38806106128,188.8994630001689,203.77859051846383,-14.879127518294922,NaN,152.0923076919862,116.22301923044579,156.71877902741784,75.72725943347375,0,NaN,NaN,NaN,NaN
1728936900,65986.13,66050,65960.71,66021.99,65902.4722577262,64225.05592611061,64050.275524076504,NaN,NaN,62880.45997216357,62791.244673567686,66381.012123116,65629.697876884,66144.30611182401,66122.99528636706,186.17457612360886,200.38537405871628,-14.210797935107422,NaN,233.41115384583827,123.17763461506256,171.57808012409356,74.77718910603157,0,NaN,NaN,NaN,NaN
1728937800,66021.99,66050,65942,66015.98,65919.93498730678,64249.75832712978,64073.40145908737,NaN,NaN,62891.328325812916,62800.77121810663,66368.93982860772,65623.06017139228,66150.88423254657,66134.89485088985,181.4386154525273,196.7624414205428,-15.323825968015512,NaN,243.06249999967986,137.86517307660105,193.3426373559916,82.38770879721051,0,NaN,NaN,NaN,NaN
1728938700,66015.98,66022.77,65900.01,65925.97,65920.86345079805,64272.878488134884,64095.196383098104,NaN,NaN,62901.847014458275,62810.00371081533,66332.08126942145,65590.69873057854,66151.56225331547,66144.30611182401,168.48014352557948,191.39775444028783,-22.917610914708348,NaN,203.0313461535261,145.41086538429371,202.91143770771504,87.91029306087239,0,NaN,NaN,NaN,NaN
1728939600,65925.98,65999,65875.88,65963.98,65927.49676605988,64296.20402622958,64117.18207270872,NaN,NaN,62912.460993610934,62819.32121831661,66299.40903589135,65575.47096410865,66148.45818557171,66150.88423254657,159.4396296964842,186.73646940198927,-27.29683970550508,NaN,169.46711538429372,150.41111538429396,207.71963058998563,93.1026001786023,0,NaN,NaN,NaN,NaN
1728940500,65963.99,65968,65779.07,65811.99,65909.72649435836,64317.11141897124,64137.12098950038,NaN,NaN,62922.511354118345,62828.162189606664,66267.19374761339,65479.87625238661,66138.55046641585,66151.56225331547,138.41507179965265,179.24565795271258,-40.830586153059926,NaN,87.90365384583129,155.10780769198755,207.57866518701766,102.63695019695743,0,NaN,87.90365384583129,NaN,102.63695019695743
1728941400,65811.99,65875.99,65730,65863.38,65902.59626445707,64338.439261468186,64157.42991903567,NaN,NaN,62932.70500627045,62837.12885965214,66169.4545513553,65436.5354486447,66125.61567484368,66148.45818557171,124.46494727308163,171.26815810362717,-46.80321083054554,NaN,10.11769230736536,152.6931730766024,208.90945256471332,96.47689358849146,0,NaN,NaN,NaN,NaN
1728942300,65863.39,65874.6,65769,65782.14,65884.06453146368,64358.35237510311,64176.54415528231,NaN,NaN,62942.58173068546,62845.82904027355,66158.41708340135,65485.18291659866,66108.55889624993,66138.55046641585,105.63627481184085,160.6921891836472,-55.05591437180635,NaN,-3.2348076926282374,144.17269230737148,210.12540362972297,78.21998098501999,0,NaN,NaN,NaN,NaN
1728943200,65782.14,65998.33,65770,65981.81,65899.10229585388,64380.744894067204,64197.78257698487,NaN,NaN,62953.11631740752,62855.09338579712,66286.3383631584,65481.99163684161,66094.28628574865,66125.61567484368,105.60872487995948,150.95082739587815,-45.34210251591867,NaN,33.91134615353076,133.04007692275627,204.0925449414771,61.987608904035454,0,NaN,NaN,NaN,NaN
1728944100,65981.81,66250,65945.2,66104.81,65930.74963495329,64404.5251024249,64220.21819372623,NaN,NaN,62964.04073225186,62864.693730299936,66550.09348007565,65645.10651992435,66086.55687888236,66108.55889624993,114.19558775521,142.65039681310495,-28.45480905789495,NaN,190.6107692304504,132.03730769198737,202.51765683044877,61.55695855352596,0,NaN,NaN,NaN,NaN
1728945000,66104.81,66279,66021.38,66200.77,65972.29122957586,64429.30089411559,64243.5188032118,NaN,NaN,62975.259897824646,62874.54919933893,66585.26037435596,65715.11962564405,66087.42061899608,66094.28628574865,127.276741429494,136.10619295820328,-8.829451528709285,NaN,250.10365384584293,141.83844230737304,217.8147357262016,65.8621488885445,0,250.10365384584293,NaN,217.8147357262016,NaN
1728945900,66200.78,66500,66104.03,66454,66046.40027117958,64457.22777833469,64269.524464350485,NaN,NaN,62987.317922442235,62885.12364778992,66826.8099904734,65777.2200095266,66102.20720823886,66086.55687888236,156.27574511812418,133.31031847660293,22.965426641521248,133.31031847660293,397.1080769227556,158.20813461506478,254.30510638726673,62.111162842862825,0,NaN,NaN,NaN,NaN
1728946800,66454.01,66500,66122.97,66134.01,66059.8786909981,64480.35580897835,64291.4595882993,NaN,NaN,62998.225000700666,62894.72153952466,66843.86249115386,65779.10750884614,66119.52850403696,66087.42061899608,151.68857427453622,131.44458855982035,20.243985714715876,NaN,373.4382692304498,171.24571153814176,279.087084125299,63.404338950984524,0,NaN,NaN,NaN,NaN
1728947700,66134.01,66210.29,66035.29,66153.39,66074.26504622916,64503.43214264761,64313.36465196637,NaN,NaN,63009.16144783862,62904.348329659006,66548.34088464286,65697.23911535712,66138.18683206211,66102.20720823886,147.9119751888211,130.1637380589689,17.748237129852185,NaN,205.04634615351097,171.44721153814027,279.3276715914882,63.566751484792334,0,NaN,NaN,NaN,NaN
1728948600,66153.39,66153.4,66046,66056.95,66071.60119296313,64524.85997516281,64333.87742076676,NaN,NaN,63019.72570625166,62913.6617762479,66478.8115357398,65720.58846426019,66154.26751106301,66119.52850403696,135.57427533318696,129.84809400713937,5.726181326047595,NaN,179.83961538427684,172.48446153813856,280.3814579727959,64.58746510348125,0,NaN,NaN,NaN,NaN
1728949500,66056.94,66168,66054.63,66083.99,66073.5071632765,64546.365216884704,64354.46698052245,NaN,NaN,63030.34707295443,62923.027590793696,66482.31464032983,65740.31535967017,66167.28306865423,66138.18683206211,126.52001732285134,130.07643512378047,-3.5564178009291254,130.07643512378047,166.74269230736536,180.36836538429196,285.94412752073146,74.79260324785248,0,NaN,NaN,NaN,NaN
1728950400,66084,66149.97,65920.47,65965.07,66056.82452277243,64565.933558720775,64373.41525133983,NaN,NaN,63040.51942278821,62932.014422135515,66466.42288030627,65604.01711969373,66173.51070904624,66154.26751106301,108.49790614866652,130.39439416120553,-21.89648801253901,NaN,91.04115384582838,188.46071153813827,287.2531720131802,89.66825106309638,0,NaN,NaN,NaN,NaN
