time,open,high,low,close,Volume
1420070400,321,321,317.5,318.39,193.25124056
1420084800,318.39,318.39,312.6,315.7,932.75634262
1420099200,315.67,318.25,314.34,315.57,563.44146412
1420113600,315.57,317.37,313.24,313.24,571.05275516
1420128000,314.01,315.95,313.25,315.4,346.39578676
1420142400,315.39,316.55,313.6,313.81,480.5389648
1420156800,313.82,315.99,311.96,315.67,591.81288371
1420171200,315.65,315.99,312.02,312.02,485.42319955
1420185600,313.89,315.14,312.44,314.3,256.91494273
1420200000,314.93,317.01,314.3,315.03,584.01394023
1420214400,315.66,316.48,313.45,316.1,808.88194284
1420228800,316.2,316.83,313.5,315.42,740.54600176
1420243200,315.42,316.58,311.33,312.06,1101.98064763
1420257600,312.81,313.73,305.7,306.47,2697.63661154
1420272000,306.46,307.85,303.46,304.9,1549.19154487
1420286400,304.9,304.9,297,301.95,5116.92594075
1420300800,301.26,302.8,291.04,292,3494.19164783
1420315200,292,296.85,280,282,7792.79275351
1420329600,280,289.39,277,281.19,6423.51463508
1420344000,279.48,288.96,278,282.77,4305.80795583
1420358400,281.82,288.91,281.22,283.9,2790.89509004
1420372800,283.94,285.15,255,265,14424.35584496
1420387200,264.06,273.96,262.58,270.62,7772.1732818
1420401600,270.8,272,256.88,264,5724.53174495
1420416000,264.55,278.7,264.07,272.2,4570.68245872
1420430400,272.19,275.09,264.95,275.09,3553.31428489
1420444800,274.76,280,273.28,276.8,1404.27425833
1420833600,272.45,305,272.45,293.97,9914.24959425
1420848000,293.89,295,286,288.38,10943.9073801
1420862400,288.38,292.88,285.02,285.8,6778.01776829
1420876800,285.99,286.4,277.3,280,4335.26098786
1420891200,280.37,280.82,271.03,276.85,3485.78340296
1420905600,276.2,279.36,274.98,276,2169.21200006
1420920000,275.19,277.58,274.72,275.59,1736.59630582
1420934400,275.6,280.94,274.72,280,1614.35093449
1420948800,279.95,279.97,276.1,276.61,699.27089534
1420963200,276.87,279.62,275.4,278.44,1790.03956546
1420977600,278.61,280.33,271.7,272.4,1983.87925438
1420992000,272.4,274.29,267.11,268.48,3292.91151847
1421006400,268.51,270.34,262.08,266.39,3378.49687617
1421020800,266.34,270.9,264.39,270.38,1193
1421035200,270.88,272.39,268.02,269.98,1053
1421049600,269.98,270.92,263.54,268.52,1773
1421064000,269.14,272.2,266.5,270.71,2150
1421078400,270.7,272.43,268.32,271.76,2537
1421092800,271.78,272.08,266.5,267.42,1752
1421107200,267.1,268.15,244,244.89,9171
1421121600,244.92,252,240.4,245.69,7917
1421136000,245.69,247.16,220,220,11983
1421150400,219.94,235.97,216,232,10819
1421164800,232.06,239.09,226.07,237.71,7996
1421179200,237.71,238.29,217.11,227,12602
1421193600,227.01,230.89,216.8,219.55,4445
1421208000,219.29,220.83,152.4,185.05,25397
1421222400,184.59,215,175.01,190.65,32940
1421236800,190.62,208.11,186,194.68,19098
1421251200,194.99,195.49,174.01,182.02,24552
1421265600,182.35,186.58,161.1,171.41,17758
1421280000,172,205.56,168.5,190.94,15244
1421294400,190.94,198.74,189.47,194.81,5044
1421308800,195,214.9,192.81,212.17,13939
1421323200,212.13,233.9,209.25,220.48,23869
1421337600,220.88,224,210.06,212.67,9888
1421352000,212.67,218.97,192,210.98,15490
1421366400,210.69,221.77,206,221.71,5422
1421380800,221.01,222.47,210.4,217.76,3496
1421395200,217.76,223.15,213.08,216.44,6305
1421409600,216.44,216.44,198.85,206.69,9729
1421424000,207,210.2,198.04,208.89,5703
1421438400,208.89,210.23,204.5,208.03,4039
1421452800,208.02,212.84,205.97,209.95,1894
1421467200,209.89,210.32,198.99,200.61,5367
1421481600,201.44,205.03,192.17,198.48,6388
1421496000,198.49,201.45,195.5,199.26,2241
1421510400,199,201.96,196.99,199.04,1671
1421524800,199.04,200.95,197.54,199.69,1525
1421539200,199.69,201.2,195.83,195.83,1014
1421553600,195.83,197.88,195.02,195.18,1274
1421568000,195.02,214.19,195.02,211.96,5511
1421582400,211.95,222,210.29,211.11,5616
1421596800,211.44,213.85,206.92,213.35,2581
1421611200,213.4,217.06,207.88,211.85,2195
1421625600,211.8,220.94,211.14,214.11,2332
1421640000,213.4,217.48,208.34,208.34,1829
1421654400,208.34,212.1,207.7,212.1,2086
1421668800,212.02,214.1,209.14,211,2440
1421683200,211,213,210,212,1479
1421697600,212.55,219,211.14,216.34,2856
1421712000,216.01,216.81,211.21,212.66,1511
1421726400,212.69,214.3,208.07,209.6,1668
1421740800,209.59,212.73,207,209.04,2211
1421755200,209.51,214.01,201.98,212.35,4436
1421769600,212.35,215.76,210.28,214.13,3133
1421784000,214.14,214.38,210,210.65,1149
1421798400,211.94,218,210.54,213.86,1798
1421812800,212.94,217.09,211.69,212.8,959
1421827200,212.8,215.64,212.33,213.29,1130
1421841600,213.28,214.99,205,212.9,5507
1421856000,212.9,216,212.8,215.77,3489
1421870400,215.77,228.9,215.77,227.16,10011
1421884800,227.75,239,226.01,232.23,5274
1421899200,231.35,236.47,228.11,230.74,2045
1421913600,230.75,238,230,233.64,3388
1421928000,233.62,237.96,230,233.49,9422
1421942400,233,236.46,231.8,234.28,3217
1421956800,233.77,234.5,230.26,234.08,2020
1421971200,234.08,235,225.67,227.71,2735
1421985600,227.08,231.59,225.69,228.73,920
1422000000,228.68,229,225.55,227.41,1232
1422014400,227.89,240,227.41,233.44,6265
1422028800,232.89,235,231.43,233.6,1455
1422043200,233.79,237,230,233.64,2572
1422057600,233.42,234.1,230.03,230.03,451
1422072000,231.54,235,231.07,232.99,631
1422086400,232.99,236.19,232,234.73,910
1422100800,235.68,242.95,234.08,242,3849
1422115200,241.54,249.49,240.97,246.67,6303
1422129600,246.67,249.99,244,249.19,1605
1422144000,249.33,255,247.15,252.79,1696
1422158400,252.02,252.04,245.91,248.36,1441
1422172800,248.36,250,244,246.97,5033
1422187200,246.36,255,241.33,248.3,12365
1422201600,247.71,250,246,249.17,1737
1422216000,248.7,257,246,255.31,6449
1422230400,254.67,291.95,254.67,281.11,11525
1422244800,283.33,309.9,267.89,308.04,10137
1422259200,308.04,308.55,295.88,298,8106
1422273600,298.1,305.17,265,267.26,14867
1422288000,267.8,278,260,266.2,8410
1422302400,266.15,275.97,265.81,274.8,2687
1422316800,274.76,278.51,252.52,257.56,6565
1422331200,257.69,262.01,255.94,260.22,1343
1422345600,260.33,260.7,243.1,253.96,6033
1422360000,253.96,267.72,253.36,260.6,3727
1422374400,260.42,266.5,260.14,264.6,1891
1422388800,263.93,266.5,257,263.98,1550
1422403200,263.97,266.45,255.65,258.3,1202
1422417600,258.25,259.74,252.2,257.58,1174
1422432000,256.04,263.25,251.88,259.8,2366
1422446400,259.74,260.41,241,253.5,7677
1422460800,253.5,254.49,233,239.9,8203
1422475200,239.9,242,225.91,236.07,7419
1422489600,236.07,242.18,231.68,237.23,2283
1422504000,238.03,239.13,228.51,232.89,2638
1422518400,232.51,235.36,223.48,226,3351
1422532800,226.09,233,220,232,8080
1422547200,231.46,239.62,229.14,237.3,4818
1422561600,237.28,240.89,232.31,235.79,4709
1422576000,235.12,238,233.44,234.83,1802
1422590400,235.98,244.98,234.24,237.99,4700
1422604800,237.98,238.41,229.16,233.57,4007
1422619200,233.6,234.95,227.26,229.21,2842
1422633600,230.66,234.99,228,230.51,4225
1422648000,230.5,234.13,225.52,228.96,3003
1422662400,228.98,231.25,226.25,228.18,1074
1422676800,227.67,234,225.91,232.02,1697
1422691200,232.03,234.8,229.07,230.69,1706
1422705600,230.66,234.33,228.23,231.4,4412
1422720000,231.67,233.99,228.76,228.76,2087
1422734400,228.95,229.81,215.75,216.9,8222
1422748800,218.04,220.75,215.75,218.76,1353
1422763200,218.38,220.4,215.1,219.58,1554
1422777600,218.64,219.98,208.48,214.42,3135
1422792000,214.94,217.81,211,217.26,1494
1422806400,217.8,229.5,217.29,228,5715
1422820800,228,233,224.18,226.93,5115
1422835200,226.93,232.77,225.76,229.65,1667
1422849600,229.62,231.28,221.79,225.14,1469
1422864000,224.54,226.84,223.81,226,1379
1422878400,226.03,229.1,222.12,223.33,3248
1422892800,223.33,226.77,221.79,226.47,1984
1422907200,226.48,241.98,225.73,238.47,5825
1422921600,238.38,242.78,236,237.95,2019
1422936000,236.82,239.99,236.15,239.99,831
1422950400,239.04,244.39,235.03,239.8,4799
1422964800,240.72,241.94,235.5,235.5,2213
1422979200,235.51,240,223.79,230,2996
1422993600,230,232.53,224.06,227.99,4597
1423008000,227.94,230,226.02,226.15,996
1423022400,226.85,228.93,220.02,224,2048
1423036800,223.93,229.7,220.96,227.7,3045
1423051200,227.71,230,221.5,225.65,3846
1423065600,225.18,227.99,221.24,227.99,2568
1423080000,227.99,231,224.26,227,2443
1423094400,226.93,229,225.37,227.45,655
1423108800,227.15,227.5,223.3,227.27,1180
1423123200,227.25,227.35,223.57,225.5,715
1423137600,225.47,226.24,210.43,216.5,6277
1423152000,216.5,219.4,213.64,218.29,2520
1423166400,218.29,219.87,215,216.81,1496
1423180800,216.46,221.5,216.25,219.84,908
1423195200,219.86,221.79,210.59,217.79,3596
1423209600,217.79,219.94,215,216.45,786
1423224000,216.91,224.58,215.75,223.55,2432
1423238400,223.57,225.86,218.89,223,1680
1423252800,222.99,224.97,220.34,223.37,1529
1423267200,223.44,226,221.77,225.74,653
1423281600,225.74,226.3,222.4,224.2,392
1423296000,223.54,231,223.01,229.99,1442
1423310400,229.99,231.14,224.02,225.54,1516
1423324800,225.55,229.97,223.28,228.35,5088
1423339200,228.31,229.85,226.54,228.3,551
1423353600,228.78,229.37,226.37,226.37,523
1423368000,226.92,227.23,224.46,225.49,347
1423382400,225.49,232.89,225.49,229.09,3016
1423396800,229.57,229.57,217.28,221.65,7732
1423411200,222.01,224,219.7,223.49,1154
1423425600,223.48,224.88,221.62,223.88,986
1423440000,223.92,225.99,219.18,223.88,1477
1423454400,223.88,225,220.66,223.6,445
1423468800,223.49,224.87,220.75,221,861
1423483200,221.37,221.41,215.1,219.03,9951
1423497600,219.03,220.39,215,220,2217
1423512000,220,223,217.2,220.9,4649
1423526400,220.91,221.7,219.19,221.19,294
1423540800,221.19,221.22,215.21,217.45,1173
1423555200,217.43,217.84,215.3,216.28,734
1423569600,216.59,218.23,215,216.85,1337
1423584000,216.8,221.33,216.29,220.35,1341
1423598400,220.35,222,219.54,220.42,1967
1423612800,220.42,223.43,219.67,223.22,1524
1423627200,223.22,223.4,220.52,221.18,430
1423641600,221.18,222,218,219.89,1801
1423656000,219.88,222.71,219.78,221.83,3642
1423670400,221.85,223,220,220,2032
1423684800,219.91,220.61,217.99,219.55,1207
1423699200,219.57,220.51,218.23,218.89,364
1423713600,218.89,219,218.08,218.2,261
1423728000,218.19,219.85,218.01,218.67,612
1423742400,219.13,222,218.54,220.82,2618
1423756800,220.83,223,220.11,221.55,1392
1423771200,222.02,223.09,221.66,223,1674
1423785600,223.02,224.5,221.37,224.5,1680
1423800000,224.51,235.02,223.89,231,5754
1423814400,230.41,239.07,230.34,236.73,3620
1423828800,235.74,242,235.01,240.82,4568
1423843200,241.44,242.35,235.1,237.2,3981
1423857600,237.2,238.92,235.1,237,1794
1423872000,237,240,236.9,239.21,1175
1423886400,239.21,251.7,238.77,248.95,5399
1423900800,248.95,251.7,247.25,247.43,1719
1423915200,247.43,249.74,243.59,248.57,3207
1423929600,248.57,249,244.16,247.9,1512
1423944000,247.95,259.31,247.04,256.99,6780
1423958400,256.81,261.42,246.66,254.08,2863
1423972800,250.15,260,242.46,257.78,3114
1423987200,257.79,267.92,252.37,254.45,6890
1424001600,254.44,255.3,239.1,243.84,5991
1424016000,244,246.83,233.98,234.14,5570
1424030400,234.13,235.67,227.75,235.63,4727
1424044800,235.61,235.94,229.2,230.6,1681
1424059200,230.6,235.6,230.5,233.5,747
1424073600,233.4,241.23,231.44,234.01,4626
1424088000,234,237.5,231.9,235.92,1886
1424102400,235.92,238.51,234.62,237.8,1701
1424116800,237.8,239.84,233.37,234.7,1704
1424131200,234.69,236.36,232.01,236.09,762
1424145600,235.97,238,234.36,237.09,502
1424160000,237.09,241.2,237.01,239.16,2623
1424174400,239.16,242.4,236.13,240.76,2721
1424188800,240.76,248.78,240.39,243.88,4548
1424203200,243.88,245.39,240.4,244.7,1945
1424217600,244.6,247,242.78,244.05,1301
1424232000,244.03,246.21,242.24,243.09,1190
1424246400,242.66,243.22,240,242.94,1395
1424260800,242.5,244.8,236.16,237.26,3013
1424275200,237.41,240.54,232.01,234.61,4831
1424289600,234.6,237.49,233.36,237.37,1050
1424304000,237.37,238.66,235.59,237.25,449
1424318400,237.17,238.61,236.04,236.75,728
1424332800,236.75,239.8,236.65,238.76,831
1424347200,239.43,239.5,236.87,239,1920
1424361600,238.58,244.78,238.15,242,2494
1424376000,242.23,245.01,239.13,240.59,2269
1424390400,240.61,244,239.41,243.97,1154
1424404800,243.26,248.59,242.29,245.08,2975
1424419200,245.48,249.32,244.21,244.76,2196
1424433600,244.86,247.17,244,245.4,741
1424448000,245.39,246.58,242.01,243.29,1374
1424462400,243.35,246.32,243.11,245.48,851
