time,open,high,low,close,PMA12,PMA144,PMA169,PMA288,PMA338,PMA576,PMA676,MHULL,SHULL,KD,J,RSI,MACD,Signal Line,Histogram,Cross,QQE Line,Histo2,QQE Up,QQE Down,Plot,Plot,Plot,Plot,Plot,Shapes,Shapes
516934800,909.26,909.26,909.26,909.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
517021200,915.96,915.96,915.96,915.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
517107600,923.5,923.5,923.5,923.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
517194000,927.81,927.81,927.81,927.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
517453200,936.9,936.9,936.9,936.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
517539600,939.98,939.98,939.98,939.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
517626000,943.82,943.82,943.82,943.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
517712400,943.93,943.93,943.93,943.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
517798800,946.19,946.19,946.19,946.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
518058000,954.24,954.24,954.24,954.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
518144400,957.37,957.37,957.37,957.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
518230800,958.95,958.95,958.95,958.95,938.1591666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
518317200,957.53,957.53,957.53,957.53,941.1392948717948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.56890904509945,94.9911816578481,NaN,NaN,NaN,NaN,NaN,NaN,47.87523898683369,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
518403600,970.83,970.83,970.83,970.83,945.7070956607495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.80742420424954,97.61484840849911,NaN,NaN,NaN,NaN,NaN,NaN,47.345599660309915,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
518662800,980.91,980.91,980.91,980.91,951.1229270975573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.04593936339964,99.0459393633997,126.18740770573211,NaN,NaN,NaN,NaN,NaN,47.333123077643776,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
518749200,981.14,981.14,981.14,981.14,955.7409383133177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.25795283819971,99.78798652520001,126.20004322811045,NaN,NaN,NaN,NaN,NaN,47.33151496948177,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
518835600,981.14,981.14,981.14,981.14,959.6484862651149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.43463073386644,100.14134231653347,126.20004322811045,NaN,NaN,NaN,NaN,NaN,47.33044289737377,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
518922000,981.04,981.04,981.04,981.04,962.9394883781741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.4933625588674,99.99354791270326,125.8727113508096,NaN,NaN,NaN,NaN,NaN,47.17854789946823,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
519008400,985.4,985.4,985.4,985.4,966.3949517046088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.61706388698212,100.1764098841868,126.17253866044243,NaN,NaN,NaN,NaN,NaN,47.28148405773163,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
