Actual,Predicted
4530.16,4283.4498163958515
4367.99,4241.4520160979055
4191.07,4065.620113360923
3975.5300000000007,3915.564225461213
4052.7800000000007,3794.8495306923187
3808.21,3818.52141766125
3655.91,3694.2155344930225
3591.3099999999995,3628.502347566463
3352.33,3610.9652579630256
3316.26,3555.5121608701756
3538.3199999999997,3551.7873343410965
3776.08,3644.8048540451036
4134.12,3807.852789786608
4075.9400000000005,4053.0653043664515
3832.25,3973.6138486320033
4089.84,3766.393129608442
4113.83,3895.907760686042
4148.15,3923.79821774395
4110.55,3966.3772093712587
4058.8199999999997,3956.597409594453
4023.7199999999993,3912.056448780446
4002.45,3871.8636601342623
4124.32,3847.091276620381
4314.27,3924.6906334425857
4236.88,4065.0954267441375
4384.19,4024.042062356406
4460.040000000001,4144.297095772988
4729.65,4228.113764779054
4729.65,4444.110652256029
4729.65,4514.642435505122
5048.48,4571.459717801615
4950.68,4829.573917528139
5181.98,4800.125544823467
4873.67,5006.95073085899
5012.46,4799.633595063968
4839.46,4871.156901483755
4869.82,4775.119070357481
5033.37,4787.2420219058295
4955.33,4865.495218973567
4624.84,4822.628322382176
4527.51,4603.233304273837
4487.84,4536.674788909122
4593.12,4509.817560881193
4588.4400000000005,4578.830443642204
4838.4,4561.41039951482
4875.79,4793.249010992876
4734.94,4832.169098255779
4801.24,4644.910462750414
4909.22,4726.941627684058
4818.84,4840.4026420884165
4837.6,4700.542042982992
4759.31,4676.385829906258
4735.17,4509.942230008941
4775.48,4412.695377413562
4820.76,4456.983412371272
4880.76,4486.042530389303
4951.91,4602.234157451445
5139.94,4730.206792860825
5297.92,4887.368821042233
5185.3,5003.4999073409
5344.84,4842.896024643398
5344.84,5026.24238147796
5279.97,5073.306771003638
5349.76,5012.262846516371
5363.68,5110.7070608782615
5454.61,5157.309322576077
5586.46,5260.211579380246
5671.45,5384.871738127329
5313.31,5470.790516976285
5451.06,5090.777938442401
5690.11,5176.146917468983
5739.26,5383.868555254039
5824.0,5501.953538637607
5732.09,5625.595267208007
5806.74,5539.667295132003
5913.82,5642.972708575909
5941.15,5763.1041939899915
5728.0,5831.4094224934925
5921.29,5574.752909816423
5850.18,5748.019902207503
5777.07,5653.762193752452
5852.95,5552.21089287398
6112.09,5632.83280336895
6172.57,5953.330223805844
6172.65,6042.882569588566
6305.22,6070.380632809135
6301.89,6182.184175644569
6102.09,6198.965178379715
6125.79,5972.721654572024
5728.72,5967.85911013971
5789.05,5535.398050181748
6018.04,5598.984462509925
6110.07,5828.776347732418
6142.21,5953.286275696062
6168.9,6024.379070020024
6158.17,6053.773628712718
6089.6,6069.859982243248
5901.45,5989.845945858579
5713.59,5693.311680730448
5597.24,5450.197912617747
5610.72,5333.515681146406
5709.27,5364.171281519784
5585.44,5478.682117607812
5676.19,5335.154093586087
5676.19,5435.073484551324
5805.56,5418.518949116586
5852.63,5626.54104846852
5851.16,5745.691773514303
5753.98,5733.179118829214
5775.55,5535.545590264586
5817.74,5531.1274598811915
5925.19,5597.414662935516
6024.4,5732.371460199443
6029.78,5840.5163228955225
5976.14,5852.139701032675
6033.24,5763.05867630486
6090.19,5867.524678607091
5872.74,5949.191253609584
6023.18,5661.849767077598
5931.26,5819.155075065897
5900.7,5710.686879847851
5613.1,5670.85643888232
5604.69,5356.506596638765
5607.21,5330.3227164357095
5591.96,5339.205840237932
5318.01,5335.864662769246
5303.88,5081.754898209036
5456.8,5079.0538832578395
5312.32,5268.755674907006
5327.1,5095.560658756947
5283.19,5102.626886979761
5173.75,5056.583169881267
5225.76,4948.990349258063
5229.99,5005.620179412834
5229.99,4988.5719004181965
4895.84,4981.027400163928
4822.98,4644.643634941023
5005.91,4550.972274991483
5054.58,4760.768667163342
4957.09,4802.408155831535
5185.59,4655.120326172944
5227.83,5006.641748740216
5178.06,5043.829249042477
5141.41,4931.067144118684
5012.45,4848.846733242917
4881.65,4682.504931518259
4887.03,4580.520652068413
4838.17,4600.373537987305
4866.22,4548.049277240876
5142.6,4559.9484521894165
5157.66,4854.698558595426
5104.43,4866.456247537474
5089.95,4788.4631515276305
4967.9,4762.19518693086
4897.35,4622.187496192695
4650.35,4574.323520139045
4410.09,4371.650533577726
4393.18,4109.20766926272
4690.42,4042.1401630347136
4527.37,4358.090299459465
4516.52,4198.299008342831
4411.6,4182.566481941057
4352.92,4104.005648104845
4358.95,4072.9235716865405
4566.57,4095.655507246255
4673.68,4344.9780669909205
4625.59,4502.581370070548
4508.26,4417.7000805275175
4499.5,4255.295670679251
4624.83,4238.064424043889
4707.8,4363.374835435707
4722.08,4442.673369686117
4668.49,4459.161086055983
4663.02,4388.200136061367
4544.47,4383.8582421949395
4565.99,4308.734778373824
4532.25,4347.031519997981
4639.35,4337.073237081449
4593.32,4392.0119619098095
4653.27,4348.779578487068
4741.45,4409.747714907466
4814.19,4501.86609216134
4790.68,4580.855195842877
4842.33,4551.992498968566
4851.5,4635.335156219126
4867.13,4662.461454306946
4858.44,4692.7856500565595
4830.13,4691.387831095431
4726.15,4654.409532764734
4742.71,4566.810635616814
4817.65,4603.831985157092
4846.55,4618.446525460024
4825.48,4659.713352095268
4813.2,4642.038588311187
4554.5,4626.493962501236
4568.610000000001,4316.898363990889
4309.23,4337.272348925768
4304.04,4046.7650289141247
4334.3,4028.159282722824
4296.56,4068.9704840566546
4088.6499999999996,4036.3138993378934
4135.64,3846.959880741135
4253.73,3891.18602958507
4381.69,4053.5980630850336
4364.449999999999,4239.940739261523
4389.859999999999,4268.394001194701
4332.58,4303.141708728908
4278.84,4185.357635362317
4423.43,4071.909177560755
4430.59,4255.084899132337
4424.85,4251.5690503497735
4439.49,4229.972141992695
4491.68,4240.70444978151
4467.73,4290.198541947995
4491.52,4251.766816843792
4511.360000000001,4286.047687824091
4420.69,4307.518581703121
4480.94,4234.07052745492
4478.709999999999,4269.925906735675
4496.889999999999,4252.060551659172
4543.84,4258.437512078568
4534.62,4318.992625957034
4529.62,4318.469733140648
4471.0,4316.594314823214
4453.58,4237.3827798921675
4391.609999999999,4243.000065842473
4355.02,4191.707240325623
4343.24,4154.368836564774
4378.13,4140.20184946146
4378.13,4180.179382059732
4378.13,4177.0855248210955
4378.13,4178.003502175421
4455.76,4174.1387592152
4401.79,4368.097911886977
4439.97,4229.970348192295
4417.06,4297.045926522098
4391.53,4225.320369107294
4400.3,4153.066985925006
4457.619999999999,4166.182805994349
4466.57,4282.583859253105
4448.040000000001,4290.024991759366
4459.75,4227.63212937185
4449.58,4245.320795109025
4529.58,4211.69555817466
4540.549999999999,4345.038607754395
4540.549999999999,4341.599892389
4540.549999999999,4331.61246021598
4692.17,4326.965171831578
4718.81,4542.762947464236
4772.61,4576.359932042313
4803.51,4649.350567188701
4782.82,4700.81380374348
4904.43,4671.965008822264
4947.16,4825.8414673473635
4939.07,4895.33374326508
5022.96,4903.148883154588
5045.94,5010.895746387078
5102.64,5062.541502132484
5131.42,5142.614061255179
5122.01,5199.008006657445
5243.6,5206.475597719595
5341.49,5336.471864204398
5312.67,5445.190967253292
5390.05,5419.528858741374
5391.63,5513.38049563104
5391.63,5553.397043387995
5204.55,5588.086900859327
5072.04,5273.853655641724
5072.04,5095.977941574827
5088.1,5087.484969359446
5023.41,5117.4423329274105
4859.48,5026.555623872682
4766.91,4798.064468164708
4839.42,4684.774537473431
4995.32,4794.963211499426
4950.37,5014.776857775943
5070.24,4944.621996835747
4987.73,5135.540209380668
4951.5,4986.602980254951
5019.22,4902.739896663555
5031.69,4981.60881571834
5144.37,4989.990572308967
5056.64,5125.988222254569
5066.4,4972.391820816805
5033.53,4979.489440546606
4988.08,4932.994134197597
4923.03,4873.83526970491
