Actual,Predicted
4530.16,4213.03911467371
4367.99,4200.961456585444
4191.07,4012.5164463410138
3975.5300000000007,3821.678506363961
4052.7800000000007,3758.7694779115554
3808.21,3790.767737883786
3655.91,3712.010034453754
3591.3099999999995,3670.596564635869
3352.33,3662.451813922996
3316.26,3617.854348396412
3538.3199999999997,3617.635504747701
3776.08,3684.6056973040477
4134.12,3814.7454678207923
4075.9400000000005,3975.028260246825
3832.25,3909.369335782343
4089.84,3729.2820900481993
4113.83,3888.4540715769863
4148.15,3944.325124162866
4110.55,3998.173218348472
4058.8199999999997,3992.5729735019595
4023.7199999999993,3934.282532627568
4002.45,3881.1837985587554
4124.32,3847.7845804746976
4314.27,3933.453796843106
4236.88,4078.3596837965197
4384.19,4048.2498471946183
4460.040000000001,4165.269761591122
4729.65,4248.893148604166
4729.65,4446.454252477673
4729.65,4524.509234601292
5048.48,4580.178036192154
4950.68,4810.08382774
5181.98,4789.091878567573
4873.67,4980.46235303816
5012.46,4767.071184866169
4839.46,4838.792706230073
4869.82,4781.31665073695
5033.37,4804.541881406463
4955.33,4858.9729607218305
4624.84,4830.576203501229
4527.51,4656.764344238873
4487.84,4609.785608682261
4593.12,4589.926444461972
4588.4400000000005,4599.707141138977
4838.4,4552.1772604096905
4875.79,4803.524796580079
4734.94,4792.868949533281
4801.24,4597.701672292596
4909.22,4675.244972852324
4818.84,4803.238685416396
4837.6,4665.759804791098
4759.31,4643.285728038778
4735.17,4476.1084637781605
4775.48,4386.69693132678
4820.76,4425.394138890075
4880.76,4430.189415807416
4951.91,4545.318216132992
5139.94,4675.077700965092
5297.92,4832.172910081627
5185.3,4943.145699107151
5344.84,4807.149842961948
5344.84,4981.0231398879805
5279.97,5028.564231869762
5349.76,4965.747584137919
5363.68,5056.57801270512
5454.61,5106.925953861655
5586.46,5210.375095562552
5671.45,5310.21914691102
5313.31,5385.8063081353475
5451.06,5066.843932390127
5690.11,5145.394451874043
5739.26,5298.088795936025
5824.0,5390.830967278745
5732.09,5519.72292539275
5806.74,5437.878315700629
5913.82,5534.389485907259
5941.15,5652.795559562297
5728.0,5732.43087983767
5921.29,5507.5172348009855
5850.18,5622.917571662
5777.07,5561.7962895325145
5852.95,5502.879588093729
6112.09,5572.731969441598
6172.57,5877.4643508444815
6172.65,5954.259860862765
6305.22,5981.896046714077
6301.89,6072.680957596145
6102.09,6079.748531169259
6125.79,5870.430186803804
5728.72,5841.514572817715
5789.05,5504.9110670458995
6018.04,5561.383042765534
6110.07,5748.667912601738
6142.21,5867.60046667396
6168.9,5998.643864141835
6158.17,6026.872004124906
6089.6,6061.325976843734
5901.45,5958.917463599462
5713.59,5553.4665531534665
5597.24,5329.415726108829
5610.72,5266.912769221809
5709.27,5306.435797643916
5585.44,5416.178039595542
5676.19,5287.447299292422
5676.19,5387.007705952757
5805.56,5347.540509568077
5852.63,5619.851294104503
5851.16,5754.106042737167
5753.98,5743.91052971783
5775.55,5464.751912157202
5817.74,5456.497291169874
5925.19,5545.4881774276255
6024.4,5673.784369584024
6029.78,5748.0270774091
5976.14,5740.715995431786
6033.24,5634.32614220134
6090.19,5750.89087974653
5872.74,5832.68840217817
6023.18,5583.618768289802
5931.26,5682.766376633255
5900.7,5624.040714936991
5613.1,5600.829161995522
5604.69,5303.741733669267
5607.21,5297.845960206974
5591.96,5318.045498053024
5318.01,5316.234656549964
5303.88,4999.588974020397
5456.8,4988.571003517996
5312.32,5218.063324073812
5327.1,5011.862604802283
5283.19,5011.184324026311
5173.75,4945.265522728985
5225.76,4788.527952567054
5229.99,4860.494103460409
5229.99,4844.705296571108
4895.84,4911.910252754709
4822.98,4537.312484951062
5005.91,4342.655992374069
5054.58,4697.643934212925
4957.09,4743.04838569413
5185.59,4554.337444540508
5227.83,4945.110134769398
5178.06,4957.4963265263395
5141.41,4816.652949027166
5012.45,4706.196998741681
4881.65,4491.555775916451
4887.03,4374.082478469033
4838.17,4420.050855950757
4866.22,4391.749170151317
5142.6,4391.787736859901
5157.66,4769.021045900172
5104.43,4759.545967966192
5089.95,4667.087217086556
4967.9,4627.1289678425765
4897.35,4431.283634050969
4650.35,4352.681094355474
4410.09,4208.395862340207
4393.18,3992.6039165588463
4690.42,3943.551099290582
4527.37,4246.541924730826
4516.52,4166.881939699963
4411.6,4138.918385275785
4352.92,4053.4828114093807
4358.95,4016.1462014489307
4566.57,4032.5437793487336
4673.68,4281.917910854877
4625.59,4431.975592554987
4508.26,4324.43860396921
4499.5,4124.9092526076065
4624.83,4085.001229774807
4707.8,4233.3857441525
4722.08,4321.91696905794
4668.49,4336.9624699067945
4663.02,4258.258132038641
4544.47,4252.617526683145
4565.99,4154.612344968975
4532.25,4204.693906766219
4639.35,4220.5457208945445
4593.32,4276.528886005378
4653.27,4238.872531123759
4741.45,4341.67612890597
4814.19,4423.585988087613
4790.68,4513.524897856378
4842.33,4480.587583375131
4851.5,4553.129319971602
4867.13,4577.802147563324
4858.44,4610.0605085934485
4830.13,4615.797530720405
4726.15,4579.499531191132
4742.71,4551.775000670155
4817.65,4604.9553526571335
4846.55,4626.539704411418
4825.48,4650.930905340455
4813.2,4625.437862516168
4554.5,4612.301862192333
4568.610000000001,4337.2113597121925
4309.23,4355.093307442388
4304.04,4106.561813673801
4334.3,4084.810638482385
4296.56,4106.901290399363
4088.6499999999996,4069.4794749199473
4135.64,3877.180484517691
4253.73,3904.243551141437
4381.69,4191.874063762755
4364.449999999999,4348.933845321405
4389.859999999999,4339.231178961768
4332.58,4346.4086228093365
4278.84,4205.638791126533
4423.43,4062.4809626622055
4430.59,4239.599917185662
4424.85,4222.44042256627
4439.49,4199.08424446761
4491.68,4205.7509036514875
4467.73,4231.936801879991
4491.52,4196.277395292856
4511.360000000001,4226.45763856043
4420.69,4250.106654574271
4480.94,4206.348239184444
4478.709999999999,4221.085206364624
4496.889999999999,4197.521395869749
4543.84,4189.9322748305485
4534.62,4260.681556378051
4529.62,4299.530788525183
4471.0,4302.9901325951705
4453.58,4214.072343703689
4391.609999999999,4253.321144889757
4355.02,4234.2234489389575
4343.24,4207.081903547743
4378.13,4197.521844319848
4378.13,4230.583379478745
4378.13,4213.634656406267
4378.13,4206.745565972881
4455.76,4193.7449975791915
4401.79,4445.602197288021
4439.97,4276.321702059263
4417.06,4337.466079368889
4391.53,4256.330693509628
4400.3,4177.796318229305
4457.619999999999,4206.300703473863
4466.57,4307.52037550352
4448.040000000001,4304.996946791851
4459.75,4238.618708367263
4449.58,4250.5035329126085
4529.58,4215.354014088965
4540.549999999999,4324.60811810694
4540.549999999999,4318.927600692561
4540.549999999999,4312.508934413882
4692.17,4314.881683892013
4718.81,4507.299513570721
4772.61,4532.95982828224
4803.51,4600.844410592113
4782.82,4646.78274191715
4904.43,4620.433607852312
4947.16,4760.012804520101
4939.07,4824.463828640726
5022.96,4839.706199083401
5045.94,4943.598633707966
5102.64,4998.446323166063
5131.42,5077.322865872547
5122.01,5135.377870444534
5243.6,5151.503463358798
5341.49,5279.072717903393
5312.67,5384.455576434699
5390.05,5365.685249056765
5391.63,5460.630879964936
5391.63,5500.322525624573
5204.55,5541.498765339655
5072.04,5316.728624334912
5072.04,5185.341714090577
5088.1,5186.36238651776
5023.41,5215.4571563187255
4859.48,5132.589407723874
4766.91,4927.3367119633585
4839.42,4824.028383593804
4995.32,4900.519171769261
4950.37,5248.259038869828
5070.24,5168.731346618411
4987.73,5319.658348837015
4951.5,5131.187552711846
5019.22,5026.377813408105
5031.69,5094.710173142645
5144.37,5090.698786999783
5056.64,5193.731542783
5066.4,5031.521087602904
5033.53,5045.124148705698
4988.08,5011.542411431014
4923.03,4977.278581554509
4926.2,4892.599991456596
4965.48,4897.982513779647
4984.86,4926.4297216364785
5030.63,4941.326785502293
5012.96,5043.706149490077
4890.32,5015.646178294439
4851.95,4817.538189524204
4810.23,4803.769201884479
4818.18,4768.575510726003
4685.16,4776.117992954823
4790.1,4635.985857313959
4721.25,4772.4077410539885
4792.54,4683.180745818683
4817.35,4791.2558745242395
4800.94,4813.537566183739
4676.48,4775.65922850271
4733.96,4602.894275998376
4733.96,4668.9917846604785
4652.1,4661.8914742300785
4613.74,4578.500832818839
4552.46,4518.830959437411
4528.05,4459.695190124865
4563.85,4431.218160336396
4405.44,4468.608584308824
4461.98,4317.813650644615
4439.66,4382.851023270751
4538.52,4357.043616926492
4503.22,4508.59957041009
4547.74,4455.680216381204
4556.09,4485.999030729621
4505.07,4449.726144405937
4470.31,4381.411050000239
4480.12,4348.89796931342
4486.45,4377.535544237622
4523.949999999999,4379.524420430311
4523.949999999999,4405.448423800522
4496.1900000000005,4372.659994752414
4545.18,4358.294344254882
4539.47,4370.776055883083
4536.53,4333.20400962023
4482.25,4317.01989396794
4481.290000000001,4330.95099631875
4462.610000000001,4372.956420268392
4268.17,4353.7699311978295
4289.24,4171.392002353821
4326.38,4162.1400283445
4300.6,4176.7348368430385
4292.46,4130.572728918194
4437.630000000001,4107.373956804569
4500.82,4330.5832672369
4560.0,4358.299725656079
4563.67,4374.875786695609
4623.94,4330.6711634564645
4634.33,4368.855344105568
4540.0,4365.5919727292
4541.380000000001,4270.320991273614
4501.02,4275.099675537262
4519.27,4326.1458534992125
4456.85,4381.545136580085
4468.94,4333.0304594316
4583.97,4324.840415258645
4586.609999999999,4378.478634797537
4565.040000000001,4394.935856560615
4526.65,4351.6738754312855
4633.8,4305.531050860733
4597.189999999999,4409.808255670941
4681.07,4362.348781607326
4672.49,4437.215283521246
4637.779999999999,4423.634869148493
4603.9,4389.828906823901
4628.78,4381.245571913407
4587.85,4376.383475931193
4697.66,4363.816110333926
4690.48,4410.819959096128
4655.08,4427.395571685557
4565.01,4390.802043540503
4501.97,4357.836476702969
4467.5,4298.967535199813
4523.81,4248.39402364307
4523.81,4263.893355992939
4454.08,4238.025857335305
4455.98,4169.3636625523495
4511.970000000001,4181.11619431825
4432.22,4243.7234158534775
4329.31,4144.209199553424
4337.99,4039.33331385996
4316.79,4044.569865675521
4312.38,4027.0560954772745
4307.69,4026.8498084313587
4352.51,4027.7381880790963
4349.68,4135.8254249373485
4282.6,4109.712624075114
4147.59,4028.820746620054
4159.02,3883.2359062155174
4154.8,3893.1130196639833
3978.87,3892.6995486719525
4022.16,3772.4077423471854
4008.2199999999993,3795.8024871544294
3959.1000000000004,3774.474648857241
3947.3199999999997,3738.458724440751
4029.5300000000007,3737.473479571454
4108.52,3865.8382845931237
4072.08,3974.4349607647673
4088.1800000000003,3915.3848454212866
4134.91,3937.269658742448
4122.78,3991.9065766536314
4082.8999999999996,3978.2100137050256
3951.7299999999996,3923.8381298028335
3958.2800000000007,3822.1000494577884
3901.6100000000006,3863.7718265331678
3893.34,3837.66799467293
3914.8999999999996,3816.7105761581897
3784.4799999999996,3797.3204907423096
3772.91,3709.4561111352978
3733.9300000000003,3687.642152929907
3733.0599999999995,3660.2005944219154
3866.2199999999993,3658.4301134278385
3850.6800000000003,3837.052272685881
3816.38,3815.6724141771138
3793.0300000000007,3766.9496561823144
3800.9699999999993,3735.8908991692006
3852.45,3740.4238327781486
3946.3500000000004,3800.1004329110738
3960.45,3893.8004936670022
3933.6100000000006,3881.9851788871283
3888.49,3841.786560389647
3888.49,3790.0403518218827
3852.2700000000004,3786.2312166740385
3758.38,3762.2279250813426
3755.5300000000007,3754.3549351289585
3785.5,3754.8921783485393
3685.04,3729.905884137045
3716.7199999999993,3653.932607376776
3644.5200000000004,3638.463769633694
3441.6900000000005,3592.597638774728
3437.6000000000004,3475.742305564857
3481.8999999999996,3451.712555416272
3524.75,3457.564380768782
3529.42,3499.879235287299
3540.4799999999996,3551.4420277642375
3472.5,3562.583770494187
3397.29,3514.901865181063
3524.21,3472.6251289210304
3584.08,3622.821830152083
3717.71,3703.6760377987584
3720.45,3802.329678357263
3562.87,3780.992871058079
3592.12,3617.90726550819
3688.21,3628.9579728678764
3622.75,3720.8848619291293
3602.83,3679.7090706641475
3602.96,3663.2949001106517
3633.2199999999993,3684.0227121742855
3729.0200000000004,3693.4415096207385
3707.1800000000003,3754.4513519004195
3734.51,3748.71971117466
3724.17,3789.917476494533
3694.38,3795.2818365885423
3699.2299999999996,3767.0832943120595
3662.6000000000004,3773.7320154919444
3670.8999999999996,3735.1244979486137
3647.9699999999993,3753.047703087993
3670.8999999999996,3794.935633111483
3640.8999999999996,3786.5114979864247
3631.7299999999996,3786.9971694445258
3559.51,3788.9255048737386
3559.66,3718.0210595916988
3506.05,3715.9833023381316
3593.41,3673.270224130977
3532.6100000000006,3781.691107863493
3530.1399999999994,3706.8542036561603
3534.5300000000007,3703.816851130101
3570.8899999999994,3703.8930876470695
3555.51,3731.3534810592537
3588.4400000000005,3718.577586165572
3583.71,3795.877378321099
3660.1000000000004,3802.873648328341
3682.38,3878.4101346913885
3724.33,3883.1910612055362
3698.51,3911.257310702573
3687.2199999999993,3871.457364343829
3673.51,3858.9859670679225
3676.5599999999995,3841.7161537239763
3681.9400000000005,3837.997157046195
3675.01,3834.9216862616513
3646.76,3861.5282306837844
3635.7,3873.9749632042003
3614.08,3869.29897401341
3651.3899999999994,3821.5574248370103
3755.7700000000004,3772.069610971923
3761.01,3946.720296145988
3776.55,3947.966538973378
3746.75,3964.2735299530177
3734.3,3887.569727980147
