time,open,high,low,close
1364688000,93.3,100,93.03,93.10001
1364774400,93.17,105.9,92.49999,102.37
1364860800,102.8,118.3880667,99,117.98999
1364947200,116.5790967,146.88,101.51088,134.9529689
1365033600,131.7796862,143,119,132.681
1365120000,132.75,145,131.503,140
1365206400,141,144,140.902,143.97
1365292800,144,174.4,143.501,174.4
1365379200,172.5,200,166.693,194.5
1365465600,190.51,249.97,188.898,233.115
1365552000,233.49,290,19.9,170.986
1365638400,169.005,188,1.06,120
1365724800,111,157,51,114.71
1365811200,112.974,123.878,81.12,97.599
1365897600,98.771,109,20,95
1365984000,95,104,71.497,78.001
1366070400,77.502,82.5,0.01,70.11
1366156800,70.304,98.9,70.095,91.797
1366243200,90,114.28,88.839,114.28
1366329600,114.07,142,110,116.95
1366416000,116.401,132,115,126
1366502400,126,129.45,110,121
1366588800,121.8,129.75,120,127.596
1366675200,127.612,145.9,126.5,145.9
1366761600,144.34,166.99,140.9,154.15
1366848000,154.03,169.13,120.03,136.4
1366934400,135.852,139.189,13,134.7
1367020800,136,147.51,121.46,131
1367107200,131.05,136.99,129.55,135.81
1367193600,135.928,148.5,113.42,144.21
1367280000,144.21,146.6752,133.89,139.88
1367366400,139.88,139.88,105,113.209
1367452800,113.5,127.18,90.414,104.41
1367539200,104.72,104.73,80,95.49
1367625600,95,116.13,94.46,114.8
1367712000,114.94,126,100,116.89
1367798400,116.94,124.3,106,110
1367884800,108.9,113.7,98,113.49
1367971200,113.54,116.98,108.23,110.12
1368057600,109.37,113.298,108.9,112.5
1368144000,112.1,122.5,111.4,118.38
1368230400,118.38,118.9,112.72,115.02
1368316800,115.5,118,113,116
1368403200,116.35,118.97,114.07,117.2
1368489600,117.5,119.85,103.45,106.65
1368576000,106.5,117,104.1,110.96
1368662400,112,119.1,108.28,114
1368748800,114.01,122,112.35,117
1368835200,117.84,118.98,115.81001,117.99
1368921600,118.45,120.99,115.61,118
1369008000,118,118.94,116,118.44
1369094400,118.29,118.6,117,117.99
1369180800,117.91,120,117,119.19
1369267200,119.44,124.25,118.6,123.97
1369353600,124.04,130,122.4,129.19
1369440000,129.25,129.73,125.1,128.49
1369526400,129,133,128,130.19
1369612800,129.435,130.59,123,126.78
1369699200,126.16,127,123,126.69
1369785600,126.73,140.68,125.67,129.79
1369872000,129.8,131,124.15,125.8
1369958400,126.54,129.1,126,127.9
1370044800,127.9,129,127,128.79
1370131200,128.78,132.65,117,120
1370217600,120,132.87,117,123.03
1370304000,123.58,123.78,116.42,120.02
1370390400,120.9,122.37,119.6,120.16
1370476800,120.06,121.08,118,118.09
1370563200,118.09,118.7,107,110.02
1370649600,110,112.5,108.45,108.8
1370736000,108.8,110,89.9,97.4
1370822400,97.2,108,93,105
1370908800,104.5,108.03,103.4,107.32
1370995200,107,119,105,107.25
1371081600,107.27,109.14,95,100.8
1371168000,100.49,107.36,96.22,98.34
1371254400,98.34,104,97.1,99.99
1371340800,99.99,101.1,98.66,98.7
1371427200,98.9,101.01,98.3,100.65
1371513600,101.28,108.5,99.99,103.65
1371600000,103.97,107.5,102.99,105.3
1371686400,105.3,108,91,103
1371772800,103,105,96,101.5
1371859200,101.43,102.4,98.49,99.53
1371945600,99.53,101.5,98.6,100.5
1372032000,100,102.13,95.38,99.27
1372118400,98.54,100.9,97.5,98.2
1372204800,98.21,100,96.99,97.85
1372291200,98.37,98.47,93,93.91
1372377600,92.82,96.4,88.01,88.83
1372464000,88.01,91.6,86.15,88.74
1372550400,88.47,90.25,88.26,89.24
1372636800,89.52,91.56,1,85.34
1372723200,85.08,89.56,83.24,88.2
1372809600,88.01,88.41,75,77.29
1372896000,77.3,82,70.04,78.12
1372982400,78.01,79.17,64,66
1373068800,66,73.26,62.94,64.89
1373155200,65.6,74.1,65.1,72.99
1373241600,73.7,77,70,74
1373328000,74,76.01,70.47,75.83
1373414400,74.84,89.23,74.83,86
1373500800,86,90,84,90
1373587200,89.89,101.39,86.64,88.93
1373673600,88.87,92.5,85,91.34
1373760000,91.59,93,88.41,90.01
1373846400,89.66,99.83,82.45,93.82
1373932800,93.81,94,84.7,91.79
1374019200,92.01,92.8,88.4085,90.6
1374105600,90.6,91,77,83.54
1374192000,83.64,87.1,83.4,85.42
1374278400,86,87.2,84.27,85.04
1374364800,85.51,86.4,84,85.84
1374451200,86.04,87.1,83.99,86.18
1374537600,86.23,88.67,82.99,86.91
1374624000,86.92,95.68,86.46,88.39
1374710400,87.87,91.99899,87.15,89.92
1374796800,89.79,91.72,89.2,89.95
1374883200,89.95306,90.11,87.8,88.01
1374969600,88.24,94,87.92,93.05
1375056000,92.47977,93.73,90.54,92.85
1375142400,92.7,97.72,92.7,97.41
1375228800,97.99,101.03,95.1,98.46
1375315200,97.72,98.24265,95.21,96.59
1375401600,96.52,98.7,93.75,96.33
1375488000,96.7,97.23,94.67,96.22
1375574400,96.2,96.7,95.83,96.38
1375660800,96.51,98.91,96.21,97.6
1375747200,97.8,98.9,97,97.83
1375833600,97.83,98.3,95.5,97.17
1375920000,96.94,97.14,91.4,95.25
1376006400,95.16,95.51,89.51,92.28
1376092800,92.28,94,92.14,93.7
1376179200,93.7,94.52,93.2,94.51
1376265600,94.49,96.24,93.31,94.8
1376352000,94.67,98.2,94.53,97.58
1376438400,97.46,101,97.36828,99.13
1376524800,99.12,100.01,96.24,98.46
1376611200,98.54,99,96.53,98.24
1376697600,98.22,100,97.5,99.04
1376784000,98.52,99.75,98.42,99.43
1376870400,99.25,105,98.82,102.99
1376956800,102.99,106.49,100.48,106.35
1377043200,106.14,114.45,105,110.57
1377129600,110.76,113.01,107.99,109.39
1377216000,109.39,110,104.3,107.97
1377302400,107.42,110.6,106.61,109.27826
1377388800,109.27826,114.76,109.27826,112.86
1377475200,113.23,113.9,110,112.75
