iter	RMSE
0	0.5564203981
1	0.5543470898
2	0.5522694575
3	0.5505726737
4	0.5488013954
5	0.5468587721
6	0.5448129386
7	0.5428968786
8	0.5411434814
9	0.5394670229
10	0.5381367176
11	0.5368528113
12	0.5352746371
13	0.5336732515
14	0.5324831386
15	0.5310355312
16	0.5299267723
17	0.5286716932
18	0.527263651
19	0.5261900827
20	0.5249776431
21	0.5237119966
22	0.5226188427
23	0.5214882006
24	0.5203149827
25	0.5192197149
26	0.5182458771
27	0.5174191748
28	0.5163765861
29	0.5155868274
30	0.5144220053
31	0.5135011514
32	0.5126813949
33	0.5119716167
34	0.5112170291
35	0.5103612635
36	0.5094057381
37	0.5086837836
38	0.5077137596
39	0.5068317902
40	0.5062488905
41	0.5053204427
42	0.5045603369
43	0.5038827832
44	0.5031705442
45	0.5024613211
46	0.5018435099
47	0.5012389775
48	0.5006415555
49	0.4999277192
50	0.4993363925
51	0.4986909746
52	0.4980078686
53	0.497396484
54	0.4966686829
55	0.4962146041
56	0.4956718163
57	0.4953795407
58	0.4948918245
59	0.4942817655
60	0.4934302057
61	0.4928536829
62	0.4924413343
63	0.4919107018
64	0.4913928755
65	0.4909238484
66	0.4904998641
67	0.4898722114
68	0.4893251571
69	0.4887509825
70	0.488176222
71	0.4875176647
72	0.4870773685
73	0.4867074595
74	0.4862346351
75	0.4858120213
76	0.4854300364
77	0.4851142962
78	0.4847099315
79	0.4843073306
80	0.4839139547
81	0.4837518752
82	0.483272803
83	0.4829105838
84	0.4823921892
85	0.4819777223
86	0.4815279545
87	0.4811497661
88	0.4807198736
89	0.4801724292
90	0.4795299751
91	0.4791085195
92	0.4786300399
93	0.4781211669
94	0.4778713989
95	0.4774567084
96	0.4771897933
97	0.4767055766
98	0.4764250402
99	0.4760424171
100	0.4756887233
101	0.4751987687
102	0.4748087318
103	0.4744312538
104	0.4741520897
105	0.473686742
106	0.4732654742
107	0.4727663874
108	0.4724045781
109	0.4721086432
110	0.471828849
111	0.4714794164
112	0.4711115297
113	0.4707717289
114	0.4704013727
115	0.4700653131
116	0.4697203275
117	0.4695368094
118	0.469196399
119	0.468794468
120	0.4684525115
121	0.4681629549
122	0.4676629259
123	0.4673893076
124	0.4670769767
125	0.4666962476
126	0.4664175358
127	0.4660455062
128	0.4656309216
129	0.4652133618
130	0.4648576935
131	0.4646095698
132	0.4641670019
133	0.4637941406
134	0.4634192989
135	0.4630858069
136	0.4627037077
137	0.4623819973
138	0.4621033751
139	0.4615736258
140	0.4612450148
141	0.4610512944
142	0.4607951467
143	0.4604158919
144	0.4600994038
145	0.4598535659
146	0.4594352726
147	0.4590571334
148	0.4587744063
149	0.4586133371
150	0.4584802424
151	0.4580587101
152	0.4578235408
153	0.4577236516
154	0.4574316483
155	0.4571845219
156	0.4569193913
157	0.4565803626
158	0.4562178886
159	0.4559609279
160	0.455530969
161	0.4553683999
162	0.4549975974
163	0.4547752377
164	0.4544874855
165	0.4542626947
166	0.4540390422
167	0.4537422761
168	0.4534273285
169	0.4531233821
170	0.4529147256
171	0.4526643623
172	0.4524431379
173	0.4522659495
174	0.4519654266
175	0.4517178278
176	0.4514722364
177	0.4510666692
178	0.4509098111
179	0.4506984365
180	0.4504634008
181	0.4501735114
182	0.4499052396
183	0.4497403116
184	0.4495822583
185	0.4493923633
186	0.4491936709
187	0.4489754179
188	0.4488076401
189	0.4486172553
190	0.4482106723
191	0.447909818
192	0.4475413422
193	0.4473136676
194	0.4470422196
195	0.4465811998
196	0.4463136193
197	0.4459171157
198	0.4456656721
199	0.4454901768
200	0.4452317218
201	0.4450825559
202	0.4449556083
203	0.4445319049
204	0.444170581
205	0.4439808575
206	0.4437532946
207	0.4434769212
208	0.4432991272
209	0.4430605411
210	0.4428757756
211	0.4424810369
212	0.4421976169
213	0.4420350327
214	0.4419291376
215	0.4416786577
216	0.4414924342
217	0.4412989892
218	0.4409105962
219	0.4405878947
220	0.4404540124
221	0.4402618116
222	0.4399855237
223	0.4397315571
224	0.4394980938
225	0.4393397066
226	0.4390951013
227	0.4388389125
228	0.4384976082
229	0.4383330871
230	0.4380639646
231	0.437921439
232	0.4377441226
233	0.4374312345
234	0.4372028678
235	0.4369298798
236	0.4364620364
237	0.4362536615
238	0.436040237
239	0.4358135561
240	0.4356091613
241	0.4354105024
242	0.4352089836
243	0.4349401845
244	0.4346571364
245	0.434427893
246	0.4342172751
247	0.4340288737
248	0.4337060038
249	0.4332039598
250	0.4328990722
251	0.4325579647
252	0.4322686842
253	0.4319947695
254	0.4318127368
255	0.4314578089
256	0.431289048
257	0.4310024572
258	0.4307719506
259	0.4304004445
260	0.4302250873
261	0.4299770643
262	0.4297747637
263	0.4295308736
264	0.4292112474
265	0.4289542252
266	0.428672793
267	0.428515039
268	0.4283103771
269	0.4282169643
270	0.4279558121
271	0.4276474241
272	0.4275399485
273	0.4273971708
274	0.4272332934
275	0.4269715975
276	0.426757009
277	0.4266285058
278	0.4264821948
279	0.4262974878
280	0.4260896164
281	0.4257988448
282	0.4255595301
283	0.4254455959
284	0.4252304444
285	0.4250535932
286	0.4248961018
287	0.4247813396
288	0.4246204102
289	0.4243427566
290	0.4240952629
291	0.423870633
292	0.4236035616
293	0.4233769743
294	0.4231996783
295	0.4230690086
296	0.422720057
297	0.4225250389
298	0.4222869855
299	0.4220359393
300	0.4217016369
301	0.4214569992
302	0.4212469107
303	0.4209420325
304	0.4204627586
305	0.4202486379
306	0.4201087043
307	0.419898104
308	0.419633459
309	0.4192553854
310	0.4189682674
311	0.4186988198
312	0.4185283419
313	0.4183222052
314	0.4181691974
315	0.4177491421
316	0.4175196717
317	0.417371707
318	0.4171016226
319	0.4166026014
320	0.4164342088
321	0.4162030358
322	0.4159835025
323	0.4156992789
324	0.4155301471
325	0.4153714584
326	0.4151669244
327	0.4149693321
328	0.4147686066
329	0.4145266512
330	0.4143169567
331	0.4138525284
332	0.4135779524
333	0.4133679406
334	0.4131007074
335	0.4128403912
336	0.4125654679
337	0.4124386005
338	0.4122211995
339	0.4119821756
340	0.4116393147
341	0.4115026284
342	0.4113189539
343	0.4110502989
344	0.4108045473
345	0.4106097987
346	0.4105078871
347	0.4103171894
348	0.4100161315
349	0.4097884066
350	0.4096076267
351	0.4093608441
352	0.4090476938
353	0.408837441
354	0.4086764521
355	0.4084134805
356	0.4082288054
357	0.4080075447
358	0.407806194
359	0.4077019048
360	0.4075626698
361	0.4072477047
362	0.4070565563
363	0.4068775028
364	0.4068170815
365	0.4065316638
366	0.4062106414
367	0.4059725033
368	0.4056624074
369	0.4054898401
370	0.4052815374
371	0.4050483141
372	0.4048451736
373	0.4044147174
374	0.4041545182
375	0.4040135312
376	0.403772603
377	0.4035318379
378	0.4032663006
379	0.4030838074
380	0.4028901642
381	0.4026575544
382	0.4025242153
383	0.4022280436
384	0.4019475205
385	0.4016860744
386	0.4014371082
387	0.4012213601
388	0.4009699657
389	0.4008653484
390	0.4007115248
391	0.4005199853
392	0.400305567
393	0.400130604
394	0.4000088482
395	0.3998051893
396	0.3996241739
397	0.3993017982
398	0.3990735435
399	0.3989876399
400	0.3987677385
401	0.3986007037
