iter	Passed	Remaining
0	1	703
1	3	754
2	4	750
3	5	698
4	7	693
5	8	687
6	9	690
7	11	690
8	12	700
9	13	684
10	15	684
11	16	684
12	18	675
13	19	683
14	20	675
15	22	669
16	23	663
17	24	654
18	25	645
19	26	636
20	27	630
21	28	624
22	29	618
23	31	620
24	32	616
25	33	613
26	35	614
27	36	616
28	37	612
29	38	607
30	39	602
31	40	598
32	42	597
33	43	595
34	44	597
35	46	596
36	47	595
37	48	592
38	49	589
39	50	586
40	52	584
41	53	580
42	54	578
43	55	579
44	57	580
45	58	576
46	59	573
47	60	573
48	62	573
49	63	572
50	65	572
51	66	569
52	67	567
53	68	565
54	70	566
55	71	566
56	72	567
57	74	565
58	75	562
59	76	561
60	77	559
61	78	557
62	80	555
63	81	553
64	82	553
65	83	550
66	84	548
67	86	546
68	87	544
69	88	541
70	89	540
71	90	537
72	91	535
73	92	533
74	93	532
75	95	530
76	96	528
77	97	526
78	98	524
79	99	521
80	100	519
81	102	520
82	103	518
83	104	516
84	105	514
85	106	512
86	107	510
87	108	509
88	110	509
89	111	508
90	112	506
91	113	504
92	115	506
93	116	504
94	117	502
95	119	500
96	120	498
97	121	496
98	122	494
99	123	492
100	124	490
101	125	489
102	126	488
103	128	487
104	129	485
105	130	484
106	131	483
107	132	482
108	134	482
109	136	482
110	137	481
111	138	480
112	139	478
113	140	477
114	142	475
115	143	474
116	144	472
117	145	470
118	146	469
119	148	469
120	149	469
121	151	469
122	153	469
123	154	468
124	156	469
125	158	470
126	159	469
127	161	470
128	163	470
129	164	469
130	166	468
131	167	467
132	169	466
133	170	465
134	171	465
135	173	464
136	174	463
137	176	462
138	177	461
139	179	460
140	180	459
141	182	459
142	183	459
143	185	458
144	186	457
145	188	456
146	190	456
147	191	455
148	193	455
149	194	454
150	196	453
151	197	452
152	199	452
153	201	451
154	202	450
155	203	448
156	204	446
157	205	445
158	207	444
159	208	442
160	209	441
161	211	440
162	212	439
163	213	437
164	214	435
165	215	434
166	216	432
167	217	430
168	219	428
169	220	427
170	221	426
171	222	424
172	223	422
173	225	422
174	226	420
175	227	418
176	228	417
177	229	415
178	230	413
179	231	412
180	232	410
181	233	408
182	235	407
183	236	406
184	238	405
185	239	404
186	240	402
187	241	401
188	243	400
189	244	398
190	245	397
191	247	396
192	248	394
193	249	393
194	250	391
195	251	390
196	252	388
197	254	387
198	255	386
199	257	385
200	258	384
201	259	382
202	260	380
203	261	379
204	262	377
205	263	376
206	265	375
207	266	373
208	267	372
209	269	371
210	270	371
211	272	369
212	273	368
213	274	367
214	276	366
215	277	364
216	278	363
217	279	362
218	281	361
219	283	360
220	284	359
221	286	358
222	287	356
223	288	355
224	290	354
225	291	353
226	292	351
227	293	350
228	294	348
229	295	347
230	296	345
231	298	344
232	299	342
233	300	341
234	301	339
235	302	338
236	303	336
237	305	336
238	306	334
239	307	333
240	308	331
241	310	330
242	311	328
243	312	327
244	313	325
245	314	324
246	315	323
247	316	321
248	317	320
249	319	319
250	320	317
251	321	316
252	323	315
253	324	314
254	325	312
255	326	311
256	327	309
257	328	308
258	330	307
259	331	305
260	332	304
261	333	302
262	334	301
263	335	299
264	336	298
265	337	297
266	339	296
267	340	295
268	341	293
269	342	292
270	343	290
271	345	289
272	346	287
273	347	286
274	349	285
275	350	284
276	351	282
277	352	281
278	353	279
279	354	278
280	356	277
281	357	276
282	358	274
283	359	273
284	360	272
285	361	270
286	362	269
287	364	268
288	365	266
289	366	265
290	367	264
291	368	262
292	369	261
293	370	259
294	372	258
295	373	257
296	374	256
297	376	255
298	377	253
299	378	252
300	379	250
301	380	249
302	381	248
303	382	246
304	383	245
305	385	244
306	386	242
307	388	241
308	389	240
309	390	239
310	391	237
311	392	236
312	393	234
313	394	233
314	395	232
315	396	230
316	397	229
317	398	228
318	400	227
319	401	226
320	402	224
321	404	223
322	405	222
323	406	220
324	407	219
325	408	217
326	409	216
327	410	215
328	411	214
329	412	212
330	414	211
331	415	210
332	416	208
333	417	207
334	419	206
335	420	205
336	421	203
337	422	202
338	423	201
339	424	199
340	425	198
341	426	197
342	428	196
343	429	194
344	431	193
345	432	192
346	434	191
347	435	190
348	437	189
349	438	187
350	439	186
351	441	185
352	442	184
353	443	183
354	444	181
355	446	180
356	447	179
357	449	178
358	450	176
359	451	175
360	452	174
361	453	173
362	454	171
363	455	170
364	457	169
365	458	167
366	459	166
367	460	165
368	461	163
369	462	162
370	464	161
371	465	160
372	466	158
373	467	157
374	468	156
375	470	155
376	471	153
377	472	152
378	473	151
379	474	149
380	476	148
381	477	147
382	478	146
383	479	144
384	480	143
385	481	142
386	482	141
387	483	139
388	485	138
389	486	137
390	488	136
391	489	134
392	490	133
393	491	132
394	492	130
395	493	129
396	495	128
397	496	127
398	497	125
399	498	124
400	499	123
401	500	122
402	501	120
403	503	119
404	504	118
405	505	117
406	506	115
407	508	114
408	509	113
409	510	112
410	512	110
411	513	109
412	514	108
413	515	107
414	516	105
415	517	104
416	518	103
417	519	101
418	521	100
419	522	99
420	523	98
421	524	96
422	525	95
423	527	94
424	528	93
425	529	91
426	530	90
427	531	89
428	532	88
429	534	86
430	535	85
431	536	84
432	537	83
433	539	82
434	540	80
435	541	79
436	542	78
437	544	77
438	545	75
439	546	74
440	547	73
441	549	72
442	550	70
443	551	69
444	552	68
445	553	67
446	554	65
447	555	64
448	556	63
449	558	62
450	559	60
451	560	59
452	561	58
453	562	57
454	563	55
455	565	54
456	566	53
457	567	52
458	568	50
459	569	49
460	571	48
461	572	47
462	573	45
463	574	44
464	575	43
465	576	42
466	578	40
467	579	39
468	580	38
469	581	37
470	582	35
471	583	34
472	584	33
473	586	32
474	587	30
475	588	29
476	589	28
477	590	27
478	592	25
479	593	24
480	594	23
481	595	22
482	597	21
483	598	19
484	599	18
485	600	17
486	602	16
487	603	14
488	604	13
489	605	12
490	606	11
491	607	9
492	609	8
493	610	7
494	611	6
495	613	4
496	614	3
497	615	2
498	616	1
499	617	0
