,全部 USDT,全部 %,看多 USDT,看多 %,看空 USDT,看空 %
淨利,-199394.48,-19.94,140407.84,14.04,-339802.32,-33.98
毛利,227414.89,22.74,175919.53,17.59,51495.36,5.15
毛損,426809.37,42.68,35511.69,3.55,391297.68,39.13
最大交易獲利,421281.24,29.64,,,,
最大交易虧損,656660.22,55.84,,,,
購買和保留退貨,8233070.21,823.31,,,,
夏普比率,-0.12,,,,,
Sortino比率,-0.126,,,,,
盈利因子,0.533,,4.954,,0.132,
最大持倉,32,,32,,24,
持倉損益,-19980.10,-2.5,,,,
已付佣金,0,,0,,0,
所有已平倉交易,9,,5,,4,
總持倉,1,,0,,1,
獲利交易次數,5,,4,,1,
虧損交易次數,4,,1,,3,
勝率,55.56,,80,,25,
平均成交,-22154.94,-18.54,28081.57,25.05,-84950.58,-73.03
平均獲利交易,45482.98,42.98,43979.88,41.81,51495.36,47.65
平均虧損交易,106702.34,95.44,35511.69,41.96,130432.56,113.26
平均盈利/平均虧損,0.426,,1.238,,0.395,
最大盈利交易,80624.15,80.62,80624.15,80.62,51495.36,47.65
最大虧損交易,326289.14,278.17,35511.69,41.96,326289.14,278.17
全部交易的平均持倉K線根數,1497,,1539,,1444,
盈利交易的平均持倉K線根數,1069,,1203,,536,
虧損交易的平均持倉K線根數,2031,,2884,,1746,
追加保證金,0,,0,,0,
