交易 #,種類,信號,日期/時間,價格 USDT,合約,獲利 USDT,獲利 %,累計獲利 USDT,累計獲利 %,最大交易獲利 USDT,最大交易獲利 %,最大交易虧損 USDT,最大交易虧損 %
91,多頭出場,開盤價,,,,,,,,,,,
91,多頭進場,Long,2023-11-02 20:00,35000.00,,,,,,,,,
90,多頭出場,Close entry(s) order Long,2023-11-02 16:00,34640.01,1,82.34,0.24,10185.77,0.01,1427.32,4.13,19.68,0.06
90,多頭進場,Long,2023-11-01 20:00,34557.67,1,82.34,0.24,10185.77,0.01,1427.32,4.13,19.68,0.06
89,多頭出場,Close entry(s) order Long,2023-11-01 04:00,34418.39,1,-69.87,-0.2,10103.43,-0.01,232.23,0.67,358.26,1.04
89,多頭進場,Long,2023-10-31 12:00,34488.26,1,-69.87,-0.2,10103.43,-0.01,232.23,0.67,358.26,1.04
88,多頭出場,Close entry(s) order Long,2023-10-30 20:00,34432.12,1,-176.39,-0.51,10173.30,-0.02,247.49,0.72,545.67,1.58
88,多頭進場,Long,2023-10-30 12:00,34608.51,1,-176.39,-0.51,10173.30,-0.02,247.49,0.72,545.67,1.58
87,多頭出場,Close entry(s) order Long,2023-10-29 04:00,33970.87,1,-89.12,-0.26,10349.69,-0.01,433.34,1.27,152.20,0.45
87,多頭進場,Long,2023-10-28 05:00,34059.99,1,-89.12,-0.26,10349.69,-0.01,433.34,1.27,152.20,0.45
86,多頭出場,Close entry(s) order Long,2023-10-22 17:00,29825.61,1,1374.91,4.83,10438.81,0.14,1929.29,6.78,30.70,0.11
86,多頭進場,Long,2023-10-19 13:00,28450.70,1,1374.91,4.83,10438.81,0.14,1929.29,6.78,30.70,0.11
85,多頭出場,Close entry(s) order Long,2023-10-16 17:00,28064.16,1,1165.29,4.33,9063.90,0.12,3101.13,11.53,5.46,0.02
85,多頭進場,Long,2023-10-15 17:00,26898.87,1,1165.29,4.33,9063.90,0.12,3101.13,11.53,5.46,0.02
84,多頭出場,Close entry(s) order Long,2023-10-14 09:00,26868.80,1,-1052.92,-3.77,7898.61,-0.1,22.28,0.08,1383.06,4.95
84,多頭進場,Long,2023-10-09 05:00,27921.72,1,-1052.92,-3.77,7898.61,-0.1,22.28,0.08,1383.06,4.95
83,多頭出場,Close entry(s) order Long,2023-10-07 21:00,27865.49,1,306.29,1.11,8951.53,0.03,735.80,2.67,383.26,1.39
83,多頭進場,Long,2023-10-06 05:00,27559.20,1,306.29,1.11,8951.53,0.03,735.80,2.67,383.26,1.39
82,多頭出場,Close entry(s) order Long,2023-10-05 05:00,27651.73,1,50.19,0.18,8645.24,0,294.53,1.07,441.04,1.6
82,多頭進場,Long,2023-10-03 05:00,27601.54,1,50.19,0.18,8645.24,0,294.53,1.07,441.04,1.6
81,多頭出場,Close entry(s) order Long,2023-09-30 09:00,26931.76,1,471.77,1.78,8595.05,0.05,848.49,3.21,70.70,0.27
81,多頭進場,Long,2023-09-28 09:00,26459.99,1,471.77,1.78,8595.05,0.05,848.49,3.21,70.70,0.27
80,多頭出場,Close entry(s) order Long,2023-09-27 17:00,26304.42,1,-820.59,-3.03,8123.28,-0.08,34.59,0.13,1134.55,4.18
80,多頭進場,Long,2023-09-21 01:00,27125.01,1,-820.59,-3.03,8123.28,-0.08,34.59,0.13,1134.55,4.18
79,多頭出場,Close entry(s) order Long,2023-09-20 13:00,27098.07,1,279.66,1.04,8943.87,0.03,665.16,2.48,67.53,0.25
79,多頭進場,Long,2023-09-19 05:00,26818.41,1,279.66,1.04,8943.87,0.03,665.16,2.48,67.53,0.25
78,多頭出場,Close entry(s) order Long,2023-09-18 21:00,26814.78,1,156.12,0.59,8664.21,0.02,750.34,2.81,91.57,0.34
78,多頭進場,Long,2023-09-18 05:00,26658.66,1,156.12,0.59,8664.21,0.02,750.34,2.81,91.57,0.34
77,多頭出場,Close entry(s) order Long,2023-09-13 01:00,25840.10,1,40.11,0.16,8508.09,0,767.01,2.97,898.99,3.48
77,多頭進場,Long,2023-09-10 21:00,25799.99,1,40.11,0.16,8508.09,0,767.01,2.97,898.99,3.48
76,多頭出場,Close entry(s) order Long,2023-09-07 09:00,25762.89,1,-130.30,-0.5,8467.98,-0.01,146.81,0.57,520.68,2.01
76,多頭進場,Long,2023-09-04 21:00,25893.19,1,-130.30,-0.5,8467.98,-0.01,146.81,0.57,520.68,2.01
75,多頭出場,Close entry(s) order Long,2023-09-04 09:00,25964.97,1,101.06,0.39,8598.28,0.01,271.09,1.05,63.91,0.25
75,多頭進場,Long,2023-09-03 05:00,25863.91,1,101.06,0.39,8598.28,0.01,271.09,1.05,63.91,0.25
74,多頭出場,Close entry(s) order Long,2023-08-30 17:00,27201.63,1,-221.81,-0.81,8497.22,-0.02,719.41,2.62,406.20,1.48
74,多頭進場,Long,2023-08-29 17:00,27423.44,1,-221.81,-0.81,8497.22,-0.02,719.41,2.62,406.20,1.48
73,多頭出場,Close entry(s) order Long,2023-08-29 05:00,26083.18,1,82.19,0.32,8719.03,0.01,253.00,0.97,82.99,0.32
73,多頭進場,Long,2023-08-28 13:00,26000.99,1,82.19,0.32,8719.03,0.01,253.00,0.97,82.99,0.32
72,多頭出場,Close entry(s) order Long,2023-08-28 05:00,26012.98,1,-21.24,-0.08,8636.84,0,148.01,0.57,68.11,0.26
72,多頭進場,Long,2023-08-26 21:00,26034.22,1,-21.24,-0.08,8636.84,0,148.01,0.57,68.11,0.26
71,多頭出場,Close entry(s) order Long,2023-08-24 17:00,25996.35,1,-59.64,-0.23,8658.08,-0.01,763.28,2.93,243.17,0.93
71,多頭進場,Long,2023-08-23 01:00,26055.99,1,-59.64,-0.23,8658.08,-0.01,763.28,2.93,243.17,0.93
70,多頭出場,Close entry(s) order Long,2023-08-22 05:00,26056.00,1,-41.73,-0.16,8717.72,0,160.69,0.62,72.19,0.28
70,多頭進場,Long,2023-08-21 21:00,26097.73,1,-41.73,-0.16,8717.72,0,160.69,0.62,72.19,0.28
69,多頭出場,Close entry(s) order Long,2023-08-21 05:00,26090.66,1,2.22,0.01,8759.45,0,210.56,0.81,117.39,0.45
69,多頭進場,Long,2023-08-20 09:00,26088.44,1,2.22,0.01,8759.45,0,210.56,0.81,117.39,0.45
68,多頭出場,Close entry(s) order Long,2023-08-14 21:00,29360.54,1,-78.27,-0.27,8757.23,-0.01,256.51,0.87,336.36,1.14
68,多頭進場,Long,2023-08-12 17:00,29438.81,1,-78.27,-0.27,8757.23,-0.01,256.51,0.87,336.36,1.14
