交易 #,種類,信號,日期/時間,價格 USDT,合約,獲利 USDT,獲利 %,累計獲利 USDT,累計獲利 %,最大交易獲利 USDT,最大交易獲利 %,最大交易虧損 USDT,最大交易虧損 %
365,空頭出場,Trailing Stop,2023-11-03 17:45,34323.73,711608.81502,17925426.05,0.07,2896959318.45,0.62,18181605.22,0.07,0,0
365,空頭進場,Short,2023-11-03 17:45,34348.92,711608.81502,17925426.05,0.07,2896959318.45,0.62,18181605.22,0.07,0,0
364,多頭出場,Trailing Stop,2023-11-01 20:45,35477.52,483262.76242,251808894.99,1.49,2879033892.40,9.58,252040861.11,1.49,8834043.30,0.05
364,多頭進場,Long,2023-11-01 20:45,34956.46,483262.76242,251808894.99,1.49,2879033892.40,9.58,252040861.11,1.49,8834043.30,0.05
363,多頭出場,Trailing Stop,2023-11-01 13:00,34875.71,782640.53449,66610535.89,0.24,2627224997.42,2.6,66837501.65,0.25,58768477.73,0.22
363,多頭進場,Long,2023-11-01 13:00,34790.60,782640.53449,66610535.89,0.24,2627224997.42,2.6,66837501.65,0.25,58768477.73,0.22
362,多頭出場,Trailing Stop,2023-10-31 19:15,34529.22,842258.44022,27735570.44,0.1,2560614461.53,1.09,27962980.22,0.1,0,0
362,多頭進場,Long,2023-10-31 19:15,34496.29,842258.44022,27735570.44,0.1,2560614461.53,1.09,27962980.22,0.1,0,0
361,多頭出場,Trailing Stop,2023-10-30 14:15,34830.64,615242.06672,20087653.48,0.09,2532878891.09,0.8,20309140.62,0.09,0,0
361,多頭進場,Long,2023-10-30 14:15,34797.99,615242.06672,20087653.48,0.09,2532878891.09,0.8,20309140.62,0.09,0,0
360,多頭出場,Trailing Stop,2023-10-30 13:45,34771.07,634281.50089,20696605.37,0.09,2512791237.61,0.83,20918603.90,0.09,0,0
360,多頭進場,Long,2023-10-30 13:45,34738.44,634281.50089,20696605.37,0.09,2512791237.61,0.83,20918603.90,0.09,0,0
359,多頭出場,Trailing Stop,2023-10-30 12:00,34664.72,780492.13852,43871463.11,0.16,2492094632.24,1.79,44090000.90,0.16,28948453.42,0.11
359,多頭進場,Long,2023-10-30 12:00,34608.51,780492.13852,43871463.11,0.16,2492094632.24,1.79,44090000.90,0.16,28948453.42,0.11
358,多頭出場,Trailing Stop,2023-10-30 09:45,34629.68,682767.87148,6609193.00,0.03,2448223169.13,0.27,6827678.71,0.03,0,0
358,多頭進場,Long,2023-10-30 09:45,34620.00,682767.87148,6609193.00,0.03,2448223169.13,0.27,6827678.71,0.03,0,0
357,多頭出場,Trailing Stop,2023-10-29 18:15,34724.69,722597.30726,28506463.77,0.11,2441613976.13,1.18,28723242.96,0.11,21591207.54,0.09
357,多頭進場,Long,2023-10-29 18:15,34685.24,722597.30726,28506463.77,0.11,2441613976.13,1.18,28723242.96,0.11,21591207.54,0.09
356,多頭出場,Trailing Stop,2023-10-29 17:45,34744.14,841919.65082,82836474.44,0.28,2413107512.36,3.55,83038535.16,0.28,82120842.74,0.28
356,多頭進場,Long,2023-10-29 17:45,34645.75,841919.65082,82836474.44,0.28,2413107512.36,3.55,83038535.16,0.28,82120842.74,0.28
355,空頭出場,Trailing Stop,2023-10-27 15:15,33922.29,698420.95309,72859273.83,0.31,2330271037.92,3.23,73061815.90,0.31,0,0
