交易 #,種類,信號,日期/時間,價格 BTC,合約,獲利 BTC,獲利 %,累計獲利 BTC,累計獲利 %,最大交易獲利 BTC,最大交易獲利 %,最大交易虧損 BTC,最大交易虧損 %
247,多頭出場,Trailing Stop,2023-11-05 03:30,0.05304,40292242.226,402.92,0.02,6281.40,0.38,402.92,0.02,805.84,0.04
247,多頭進場,Long,2023-11-05 03:30,0.05303,40292242.226,402.92,0.02,6281.40,0.38,402.92,0.02,805.84,0.04
246,多頭出場,Trailing Stop,2023-11-04 23:15,0.05304,32014349.9556,320.14,0.02,5878.48,0.3,320.14,0.02,320.14,0.02
246,多頭進場,Long,2023-11-04 23:15,0.05303,32014349.9556,320.14,0.02,5878.48,0.3,320.14,0.02,320.14,0.02
245,多頭出場,Trailing Stop,2023-11-04 12:15,0.05302,41945912.4924,419.46,0.02,5558.34,0.4,419.46,0.02,838.92,0.04
245,多頭進場,Long,2023-11-04 12:15,0.05301,41945912.4924,419.46,0.02,5558.34,0.4,419.46,0.02,838.92,0.04
244,多頭出場,Trailing Stop,2023-11-03 09:30,0.05226,37834479.9764,378.34,0.02,5138.88,0.36,378.34,0.02,0,0
244,多頭進場,Long,2023-11-03 09:30,0.05225,37834479.9764,378.34,0.02,5138.88,0.36,378.34,0.02,0,0
243,空頭出場,Trailing Stop,2023-11-01 21:00,0.05233,11724951.3059,117.25,0.02,4760.53,0.11,117.25,0.02,1055.25,0.17
243,空頭進場,Short,2023-11-01 21:00,0.05234,11724951.3059,117.25,0.02,4760.53,0.11,117.25,0.02,1055.25,0.17
242,多頭出場,Trailing Stop,2023-11-01 19:00,0.05266,23469898.2278,234.70,0.02,4643.28,0.22,234.70,0.02,234.70,0.02
242,多頭進場,Long,2023-11-01 19:00,0.05265,23469898.2278,234.70,0.02,4643.28,0.22,234.70,0.02,234.70,0.02
241,空頭出場,Trailing Stop,2023-11-01 16:30,0.05223,34449460.5098,344.49,0.02,4408.59,0.33,344.49,0.02,344.49,0.02
241,空頭進場,Short,2023-11-01 16:30,0.05224,34449460.5098,344.49,0.02,4408.59,0.33,344.49,0.02,344.49,0.02
240,多頭出場,Trailing Stop,2023-11-01 00:30,0.05268,35521537.1472,355.22,0.02,4064.09,0.34,355.22,0.02,0,0
240,多頭進場,Long,2023-11-01 00:30,0.05267,35521537.1472,355.22,0.02,4064.09,0.34,355.22,0.02,0,0
239,空頭出場,Long,2023-11-01 00:30,0.05267,50042342.1863,-21017.78,-0.8,3708.88,-16.85,0,0,22018.63,0.84
239,空頭進場,Short,2023-10-31 21:30,0.05225,50042342.1863,-21017.78,-0.8,3708.88,-16.85,0,0,22018.63,0.84
238,空頭出場,Trailing Stop,2023-10-31 16:45,0.05231,42154380.8945,421.54,0.02,24726.66,0.34,421.54,0.02,0,0
238,空頭進場,Short,2023-10-31 16:45,0.05232,42154380.8945,421.54,0.02,24726.66,0.34,421.54,0.02,0,0
237,空頭出場,Trailing Stop,2023-10-30 12:30,0.05228,36563487.177,365.63,0.02,24305.12,0.3,365.63,0.02,731.27,0.04
237,空頭進場,Short,2023-10-30 12:30,0.05229,36563487.177,365.63,0.02,24305.12,0.3,365.63,0.02,731.27,0.04
236,空頭出場,Trailing Stop,2023-10-30 02:45,0.05197,43236505.2799,432.37,0.02,23939.48,0.35,432.37,0.02,864.73,0.04
236,空頭進場,Short,2023-10-30 02:45,0.05198,43236505.2799,432.37,0.02,23939.48,0.35,432.37,0.02,864.73,0.04
235,多頭出場,Trailing Stop,2023-10-30 02:15,0.05224,51093851.5684,510.94,0.02,23507.12,0.42,510.94,0.02,0,0
235,多頭進場,Long,2023-10-30 02:15,0.05223,51093851.5684,510.94,0.02,23507.12,0.42,510.94,0.02,0,0
234,多頭出場,Trailing Stop,2023-10-26 09:45,0.05333,16729654.673,167.30,0.02,22996.18,0.14,167.30,0.02,334.59,0.04
234,多頭進場,Long,2023-10-26 09:45,0.05332,16729654.673,167.30,0.02,22996.18,0.14,167.30,0.02,334.59,0.04
233,多頭出場,Trailing Stop,2023-10-26 08:00,0.05240,33639078.7195,336.39,0.02,22828.88,0.27,336.39,0.02,3363.91,0.19
233,多頭進場,Long,2023-10-26 08:00,0.05239,33639078.7195,336.39,0.02,22828.88,0.27,336.39,0.02,3363.91,0.19
232,空頭出場,Trailing Stop,2023-10-24 02:30,0.05268,8354697.7581,83.55,0.02,22492.49,0.07,83.55,0.02,334.19,0.08
232,空頭進場,Short,2023-10-24 02:30,0.05269,8354697.7581,83.55,0.02,22492.49,0.07,83.55,0.02,334.19,0.08
231,空頭出場,Trailing Stop,2023-10-23 20:00,0.05456,22760373.3008,227.60,0.02,22408.94,0.19,227.60,0.02,0,0
