交易 #,種類,信號,日期/時間,價格 USD,合約,獲利 USD,獲利 %,累計獲利 USD,累計獲利 %,最大交易獲利 USD,最大交易獲利 %,最大交易虧損 USD,最大交易虧損 %
280,多頭出場,Trailing Stop,2023-11-05 03:30,1862.6,5684.9473,5116.45,0.05,712282.84,0.63,5116.45,0.05,2273.98,0.02
280,多頭進場,Long,2023-11-05 03:30,1861.7,5684.9473,5116.45,0.05,712282.84,0.63,5116.45,0.05,2273.98,0.02
279,多頭出場,Close entry(s) order Long,2023-11-04 12:00,1838.9,6321.034,-24019.93,-0.21,707166.39,-2.89,3160.52,0.03,30340.96,0.26
279,多頭進場,Long,2023-11-04 11:15,1842.7,6321.034,-24019.93,-0.21,707166.39,-2.89,3160.52,0.03,30340.96,0.26
278,空頭出場,Trailing Stop,2023-10-31 06:15,1801.1,6413.4209,5130.74,0.04,731186.32,0.62,5130.74,0.04,21805.63,0.19
278,空頭進場,Short,2023-10-31 06:00,1801.9,6413.4209,5130.74,0.04,731186.32,0.62,5130.74,0.04,21805.63,0.19
277,空頭出場,Close entry(s) order Short,2023-10-30 21:45,1814.8,4919.8869,-81670.12,-0.92,726055.58,-9,2951.93,0.03,88557.96,1
277,空頭進場,Short,2023-10-30 20:30,1798.2,4919.8869,-81670.12,-0.92,726055.58,-9,2951.93,0.03,88557.96,1
276,空頭出場,Trailing Stop,2023-10-30 17:15,1779.7,3471.059,35751.91,0.58,807725.70,4.1,36099.01,0.58,20826.35,0.34
276,空頭進場,Short,2023-10-30 17:15,1790.0,3471.059,35751.91,0.58,807725.70,4.1,36099.01,0.58,20826.35,0.34
275,多頭出場,Trailing Stop,2023-10-30 08:45,1821.7,4385.8312,18420.49,0.23,771973.80,2.16,18859.07,0.24,0,0
275,多頭進場,Long,2023-10-30 08:45,1817.5,4385.8312,18420.49,0.23,771973.80,2.16,18859.07,0.24,0,0
274,多頭出場,Close entry(s) order Long,2023-10-29 22:00,1794.5,6981.7408,-67722.89,-0.54,753553.31,-7.35,1396.35,0.01,83082.72,0.66
274,多頭進場,Long,2023-10-29 21:15,1804.2,6981.7408,-67722.89,-0.54,753553.31,-7.35,1396.35,0.01,83082.72,0.66
273,多頭出場,Trailing Stop,2023-10-29 17:45,1805.9,6995.4981,5596.40,0.04,821276.19,0.61,5596.40,0.04,0,0
273,多頭進場,Long,2023-10-29 17:45,1805.1,6995.4981,5596.40,0.04,821276.19,0.61,5596.40,0.04,0,0
272,空頭出場,Trailing Stop,2023-10-26 12:45,1805.5,2960.3909,20130.66,0.38,815679.79,2.25,20426.70,0.38,2072.27,0.04
