交易 #,種類,信號,日期/時間,價格 USD,合約,獲利 USD,獲利 %,累計獲利 USD,累計獲利 %,最大交易獲利 USD,最大交易獲利 %,最大交易虧損 USD,最大交易虧損 %
794,多頭出場,Close entry(s) order Long,2023-11-04 22:30,34972,162.574051,9104.15,0.16,157352.90,3.67,12518.20,0.22,1625.74,0.03
794,多頭進場,Long,2023-11-04 22:15,34916,162.574051,9104.15,0.16,157352.90,3.67,12518.20,0.22,1625.74,0.03
793,空頭出場,Close entry(s) order Short,2023-11-04 00:00,34734,70.653172,-24304.69,-1,148248.75,-8.92,2826.13,0.12,25505.80,1.05
793,空頭進場,Short,2023-11-03 17:45,34390,70.653172,-24304.69,-1,148248.75,-8.92,2826.13,0.12,25505.80,1.05
792,多頭出場,Close entry(s) order Long,2023-11-01 21:00,35496,48.008999,24052.51,1.43,172553.44,9.68,24100.52,1.43,816.15,0.05
792,多頭進場,Long,2023-11-01 20:45,34995,48.008999,24052.51,1.43,172553.44,9.68,24100.52,1.43,816.15,0.05
791,多頭出場,Close entry(s) order Long,2023-11-01 13:30,34767,81.030904,-2836.08,-0.1,148500.94,-1.13,31521.02,1.12,9885.77,0.35
791,多頭進場,Long,2023-11-01 13:00,34802,81.030904,-2836.08,-0.1,148500.94,-1.13,31521.02,1.12,9885.77,0.35
790,多頭出場,Close entry(s) order Long,2023-10-31 23:45,34630,84.750612,678.00,0.02,151337.02,0.27,2118.77,0.07,8220.81,0.28
790,多頭進場,Long,2023-10-31 22:45,34622,84.750612,678.00,0.02,151337.02,0.27,2118.77,0.07,8220.81,0.28
789,多頭出場,Close entry(s) order Long,2023-10-31 20:15,34603,80.925752,5017.40,0.18,150659.01,2.04,5826.65,0.21,1780.37,0.06
789,多頭進場,Long,2023-10-31 20:00,34541,80.925752,5017.40,0.18,150659.01,2.04,5826.65,0.21,1780.37,0.06
788,多頭出場,Close entry(s) order Long,2023-10-31 19:30,34513,83.739388,167.48,0.01,145641.62,0.07,3014.62,0.1,5526.80,0.19
