,全部 USDT,全部 %,看多 USDT,看多 %,看空 USDT,看空 %
淨利,-6243.47,-6.24,-5472.83,-5.47,-770.64,-0.77
毛利,12924.45,12.92,6943.56,6.94,5980.88,5.98
毛損,19167.92,19.17,12416.39,12.42,6751.53,6.75
最大交易獲利,5250.23,4.99,,,,
最大交易虧損,16773.30,15.94,,,,
購買和保留退貨,-27986.17,-27.99,,,,
夏普比率,-0.316,,,,,
Sortino比率,-0.324,,,,,
盈利因子,0.674,,0.559,,0.886,
最大持倉,278978,,278978,,264844,
持倉損益,0,0,,,,
已付佣金,0,,0,,0,
所有已平倉交易,146,,78,,68,
總持倉,0,,0,,0,
獲利交易次數,143,,76,,67,
虧損交易次數,3,,2,,1,
勝率,97.95,,97.44,,98.53,
平均成交,-42.76,0,-70.16,0,-11.33,-0.01
平均獲利交易,90.38,0.01,91.36,0.01,89.27,0.01
平均虧損交易,6389.31,0.66,6208.20,0.33,6751.53,1.33
平均盈利/平均虧損,0.014,,0.015,,0.013,
最大盈利交易,278.98,0.02,278.98,0.02,264.84,0.02
最大虧損交易,8825.03,1.33,8825.03,0.39,6751.53,1.33
全部交易的平均持倉K線根數,1,,1,,2,
盈利交易的平均持倉K線根數,1,,1,,1,
虧損交易的平均持倉K線根數,19,,11,,35,
追加保證金,0,,0,,0,
