,全部 USD,全部 %,看多 USD,看多 %,看空 USD,看空 %
淨利,43411.24,43.41,23430.85,23.43,19980.39,19.98
毛利,527344.44,527.34,336376.27,336.38,190968.17,190.97
毛損,483933.20,483.93,312945.42,312.95,170987.78,170.99
最大交易獲利,123371.67,85.78,,,,
最大交易虧損,85322.28,81.18,,,,
購買和保留退貨,-73536.77,-73.54,,,,
夏普比率,0.217,,,,,
Sortino比率,0.49,,,,,
盈利因子,1.09,,1.075,,1.117,
最大持倉,702,,702,,288,
持倉損益,0,0,,,,
已付佣金,0,,0,,0,
所有已平倉交易,456,,297,,159,
總持倉,0,,0,,0,
獲利交易次數,270,,160,,110,
虧損交易次數,185,,137,,48,
勝率,59.21,,53.87,,69.18,
平均成交,95.20,-0.02,78.89,-0.03,125.66,0
平均獲利交易,1953.13,0.58,2102.35,0.6,1736.07,0.57
平均虧損交易,2615.86,0.9,2284.27,0.76,3562.25,1.3
平均盈利/平均虧損,0.747,,0.92,,0.487,
最大盈利交易,13457.12,5.12,11328.31,2.99,13457.12,5.12
最大虧損交易,10545.70,4.43,6886.86,3.19,10545.70,4.43
全部交易的平均持倉K線根數,7,,5,,9,
盈利交易的平均持倉K線根數,5,,4,,7,
虧損交易的平均持倉K線根數,9,,7,,15,
追加保證金,0,,0,,0,
